POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
409,125,115,67,6,3,99298
407,124,115,67,4,5,99301
406,125,115,67,4,5,99301
396,135,114,70,3,6,99299
392,138,113,70,4,6,99300
392,138,114,71,4,6,99298
387,140,114,70,5,8,99299
377,145,116,69,5,9,99302
376,145,117,68,7,9,99301
374,147,117,69,7,9,99300
373,148,117,68,8,9,99300
372,152,116,68,8,9,99298
367,153,117,67,8,10,99301
365,153,116,68,6,12,99303
365,155,114,69,7,12,99301
364,155,114,68,7,13,99302
355,157,113,69,6,15,99308
339,165,112,66,10,15,99316
336,165,114,64,12,15,99317
337,165,114,63,11,16,99317
335,165,114,63,11,16,99319
330,165,117,60,13,16,99322
322,170,118,60,10,19,99324
318,173,116,62,8,21,99325
317,172,116,62,7,22,99327
314,174,116,62,6,22,99329
312,174,117,62,6,22,99330
309,168,117,61,7,23,99338
306,170,116,61,6,24,99340
301,169,115,63,4,26,99345
299,171,116,60,5,26,99346
298,172,117,59,7,26,99344
300,173,115,59,7,27,99342
300,175,113,59,7,27,99342
300,177,112,61,7,27,99339
299,175,112,61,7,27,99342
297,175,112,61,7,27,99344
297,174,112,62,5,29,99344
298,176,113,61,5,29,99341
294,172,112,63,4,30,99348
288,176,111,62,5,30,99351
287,173,114,59,5,32,99353
288,174,113,59,4,33,99352
285,174,113,59,4,33,99355
284,175,114,58,4,33,99355
279,180,116,59,4,33,99352
268,188,116,57,5,34,99355
268,186,116,58,5,35,99355
267,184,116,59,4,35,99358
264,185,117,60,4,35,99358
264,182,115,60,4,36,99362
264,182,115,60,5,36,99361
264,181,114,61,5,36,99362
259,180,115,61,4,37,99367
260,179,116,61,5,37,99365
256,176,113,59,6,37,99376
254,171,114,60,6,37,99381
254,170,116,60,5,38,99380
254,168,115,60,4,39,99383
252,166,116,61,4,39,99385
251,164,113,63,5,39,99388
249,165,112,62,8,39,99388
245,164,108,61,10,40,99395
243,165,107,61,10,40,99397
238,165,108,61,9,41,99401
236,162,109,60,9,41,99406
236,160,108,58,9,42,99410
236,159,109,58,8,43,99410
237,156,112,58,7,44,99409
234,154,111,58,7,45,99414
234,151,111,58,7,46,99416
235,151,110,58,7,46,99416
233,149,112,57,6,47,99419
230,149,110,58,6,47,99423
229,150,110,58,6,47,99423
224,152,109,57,7,48,99426
223,151,109,60,8,48,99424
223,150,109,60,7,49,99425
223,148,110,60,6,50,99426
222,146,111,60,6,51,99427
219,145,113,60,6,51,99429
220,138,119,61,6,51,99428
218,139,120,58,6,52,99430
222,138,120,58,6,52,99427
223,139,118,61,3,55,99424
224,138,118,61,2,56,99424
229,136,121,60,2,57,99418
228,134,122,59,3,57,99420
226,132,123,59,3,57,99423
226,127,123,59,4,57,99427
220,129,123,60,4,57,99430
218,127,125,60,3,58,99432
218,127,125,60,3,58,99432
219,125,128,60,3,58,99430
219,121,128,59,3,59,99434
221,121,126,59,3,59,99434
217,121,127,59,3,59,99437
214,119,129,59,3,59,99440
210,120,130,59,2,60,99442
211,119,130,58,3,60,99442
212,119,130,58,3,60,99441
209,120,129,59,3,60,99443
211,118,131,59,3,60,99441
209,122,131,58,4,60,99439
211,120,131,58,4,61,99438
213,118,131,58,3,62,99438
211,118,130,58,3,62,99441
213,117,128,59,3,62,99441
213,117,129,59,3,62,99440
213,114,130,61,3,62,99440
215,113,128,62,3,62,99440
219,113,124,65,3,63,99436
221,112,125,64,4,63,99434
225,111,125,63,5,63,99431
226,110,123,64,5,64,99431
224,110,124,65,5,64,99431
224,110,124,64,5,64,99432
221,107,124,63,3,66,99439
222,107,123,62,3,67,99439
223,107,122,62,3,67,99439
221,106,123,62,3,67,99441
222,108,121,60,5,67,99440
220,103,124,59,5,68,99444
226,102,122,59,6,68,99440
227,102,118,61,6,68,99441
228,101,116,63,5,69,99441
231,102,112,66,5,69,99438
234,101,112,66,5,69,99436
234,102,109,66,4,70,99438
237,102,106,65,5,71,99437
