POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
406,125,115,67,6,3,99301
397,125,113,67,4,5,99312
396,128,111,69,3,6,99310
389,134,112,69,3,6,99310
382,136,111,71,4,6,99313
382,135,112,71,4,6,99313
381,134,111,70,6,7,99314
371,138,113,69,5,9,99318
367,139,112,68,7,9,99321
364,141,111,67,7,9,99324
358,143,112,66,8,9,99327
356,143,111,66,8,9,99330
354,145,110,66,9,9,99330
350,145,109,68,6,12,99333
348,143,109,64,9,12,99338
346,143,109,65,8,13,99339
344,143,109,65,8,14,99340
336,146,106,62,11,14,99348
327,150,107,61,12,14,99352
325,152,107,61,12,14,99352
323,154,107,60,11,15,99353
318,155,106,58,12,15,99359
314,156,106,56,11,17,99363
305,161,106,57,8,20,99366
304,160,106,57,7,21,99368
299,160,107,57,7,21,99372
296,158,108,57,6,23,99375
293,156,109,57,6,23,99379
290,155,109,55,5,25,99384
287,158,107,57,5,25,99384
287,159,107,55,7,25,99383
287,163,106,54,8,25,99380
286,162,105,54,9,25,99382
288,162,104,54,8,26,99381
289,161,100,54,9,26,99384
286,161,101,54,8,27,99386
282,166,100,53,7,28,99387
280,167,100,52,6,30,99388
283,167,100,52,5,31,99385
278,168,99,54,5,31,99388
272,170,98,53,5,32,99393
266,171,99,52,5,33,99397
266,168,102,49,6,34,99398
263,172,98,49,5,35,99401
262,172,100,49,5,35,99400
258,173,100,49,5,35,99403
243,179,100,49,5,36,99411
245,179,99,50,4,37,99409
241,177,96,52,4,37,99416
240,177,95,52,3,38,99418
239,176,96,51,3,39,99419
241,174,96,52,4,39,99417
240,172,96,53,4,39,99419
239,173,97,53,4,39,99418
238,175,98,52,4,40,99416
235,170,98,51,5,40,99424
234,161,99,51,5,40,99433
235,161,99,51,5,40,99432
234,162,98,50,4,41,99434
232,159,99,51,4,41,99437
233,155,97,54,4,41,99439
232,154,99,52,6,41,99439
231,149,97,51,8,42,99445
230,148,95,51,7,43,99449
231,147,95,50,7,43,99450
229,142,96,49,8,43,99456
226,143,95,47,9,43,99460
225,142,95,47,9,43,99462
223,139,98,47,9,43,99464
221,138,97,45,8,45,99469
220,137,97,46,8,45,99470
221,134,96,45,5,48,99474
222,127,97,46,5,48,99478
219,129,96,46,5,48,99480
215,129,95,46,4,49,99485
210,130,94,45,4,50,99490
207,129,94,46,4,50,99493
211,126,94,48,4,50,99490
211,124,95,48,4,50,99491
211,124,94,47,5,51,99491
210,125,94,48,5,51,99490
210,122,98,48,5,51,99489
208,121,99,48,5,51,99491
213,118,98,48,3,53,99490
214,116,97,50,2,54,99490
212,114,99,50,2,54,99492
215,111,101,47,2,55,99492
215,109,100,47,2,55,99495
214,109,101,47,2,55,99495
216,109,100,50,2,55,99491
214,108,101,51,2,55,99492
214,107,101,50,1,56,99494
212,105,104,48,2,56,99496
213,104,105,48,2,56,99495
212,103,103,48,2,56,99499
213,103,102,48,2,56,99499
207,107,102,49,2,56,99500
205,107,101,49,2,56,99503
203,108,99,47,4,56,99506
204,107,102,47,4,56,99503
207,107,102,47,4,56,99500
208,105,104,47,3,57,99499
203,107,105,46,3,57,99502
202,107,106,44,3,58,99503
205,104,107,44,3,58,99502
212,104,107,42,3,58,99497
209,105,106,43,3,58,99499
207,105,106,44,2,59,99500
204,102,108,43,2,59,99505
206,98,108,43,2,59,99507
206,99,108,42,3,59,99506
206,97,109,41,4,59,99507
210,97,108,42,3,60,99503
215,95,107,41,5,60,99500
216,92,108,41,5,60,99501
218,90,108,39,6,60,99502
216,90,108,39,5,61,99504
210,90,107,38,6,61,99511
213,86,109,38,3,63,99511
212,86,107,37,3,63,99515
213,86,107,37,3,63,99514
219,85,103,39,3,64,99510
217,83,103,39,3,64,99514
221,83,103,37,4,64,99511
221,81,104,38,4,64,99511
222,81,103,39,3,65,99510
222,83,103,39,3,65,99508
223,83,102,39,3,65,99508
223,84,102,39,3,65,99507
221,84,103,37,4,66,99508
