neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58574,24814,16632
58625,24763,16632
58666,24721,16631
58695,24690,16633
58717,24668,16632
58752,24629,16636
58785,24596,16636
58812,24566,16639
58836,24544,16637
58867,24513,16637
58882,24499,16636
58893,24488,16636
58929,24454,16633
58957,24425,16632
58984,24394,16635
59013,24367,16633
59034,24348,16631
59057,24323,16633
59096,24287,16630
59123,24260,16630
59141,24240,16632
59169,24207,16636
59179,24197,16636
59221,24157,16634
59242,24132,16636
59282,24090,16637
59307,24066,16636
59335,24035,16638
59368,24002,16637
59377,23996,16634
59422,23949,16636
59435,23934,16635
59467,23899,16638
59489,23874,16641
59506,23856,16642
59535,23828,16641
59561,23800,16642
59585,23777,16641
59603,23756,16644
59616,23741,16644
59625,23731,16645
59653,23701,16647
59681,23669,16651
59704,23640,16655
59717,23628,16654
59736,23605,16656
59778,23560,16659
59783,23556,16657
59811,23523,16660
59825,23511,16658
59855,23480,16659
59869,23462,16663
59893,23434,16665
59906,23421,16665
59926,23401,16665
59952,23374,16666
59967,23354,16668
59991,23329,16669
60010,23315,16664
60028,23299,16662
60056,23272,16661
60073,23256,16660
60085,23244,16660
60109,23220,16660
60107,23220,16662
60118,23205,16665
60120,23201,16667
60134,23185,16668
60141,23171,16675
60172,23139,16676
60179,23132,16676
60185,23124,16676
60203,23106,16676
60207,23099,16678
60243,23062,16677
60251,23054,16677
60280,23020,16681
60300,23002,16679
60327,22970,16684
60322,22971,16686
60354,22941,16684
60353,22943,16682
60364,22931,16683
60366,22928,16684
60380,22916,16682
60378,22913,16686
60390,22902,16684
60403,22887,16686
60402,22880,16693
60406,22872,16697
60418,22857,16700
60406,22867,16701
60411,22858,16704
60418,22848,16707
60426,22830,16714
60425,22829,16716
60432,22816,16722
60433,22814,16723
60433,22810,16726
60423,22820,16725
60414,22826,16728
60427,22807,16734
60420,22812,16736
60442,22792,16734
60427,22805,16736
60439,22793,16736
60420,22804,16744
60427,22793,16746
60433,22785,16748
60433,22781,16752
60431,22781,16754
60440,22773,16753
60434,22774,16758
60445,22758,16763
60447,22755,16763
60448,22748,16768
60446,22745,16772
60451,22740,16772
60436,22753,16774
60432,22752,16779
60413,22774,16776
60418,22765,16780
60401,22779,16783
60405,22772,16784
60381,22792,16787
60399,22773,16787
60381,22788,16790
60361,22810,16787
60350,22819,16789
60336,22828,16794
60342,22821,16795
60318,22839,16801
60296,22857,16805
60276,22879,16803
60262,22890,16806
60251,22897,16810
60239,22911,16807
60205,22941,16811
60198,22943,16815
60169,22973,16814
60157,22982,16817
60142,22993,16818
60137,22994,16822
60135,22995,16822
60125,22998,16829
60097,23021,16834
60074,23042,16836
60061,23048,16841
60029,23080,16841
60013,23096,16841
59981,23123,16845
59956,23142,16851
59936,23159,16854
59914,23175,16859
59875,23213,16859
59861,23224,16862
59815,23268,16863
59804,23273,16868
59771,23301,16872
59735,23332,16877
59725,23341,16878
59682,23381,16881
59671,23386,16887
59643,23408,16893
59613,23434,16897
59577,23464,16903
59567,23472,16905
59545,23484,16913
59509,23514,16918
59476,23541,16924
59443,23567,16931
59405,23602,16933
59379,23624,16935
59330,23667,16941
59313,23680,16945
59273,23714,16951
59243,23736,16958
59215,23759,16963
59166,23804,16967
59131,23835,16971
59080,23878,16979
59059,23893,16984
58998,23946,16992
58984,23954,16998
58919,24015,17002
58880,24048,17008
58838,24087,17011
58818,24104,17014
58755,24165,17015
58707,24208,17020
58663,24244,17028
58621,24282,17032
58563,24338,17034
58525,24373,17037
58486,24412,17037
58429,24460,17046
58399,24493,17043
58338,24545,17052
58292,24585,17058
58227,24646,17062
58164,24701,17070
58110,24747,17077
58043,24810,17081
58005,24847,17082
57946,24905,17083
57875,24973,17086
57829,25008,17097
57741,25087,17105
57705,25117,17111
57624,25188,17121
57574,25228,17131
57537,25262,17134
57481,25310,17141
57418,25371,17143
57376,25406,17149
57308,25470,17153
57267,25506,17158
57215,25551,17165
57148,25606,17176
57074,25676,17180
57024,25712,17194
56966,25767,17197
56896,25829,17204
56812,25907,17210
56742,25972,17215
56667,26037,17223
56586,26111,17230
56512,26174,17241
56422,26252,17253
56345,26323,17259
56288,26374,17265
56214,26439,17274
56114,26531,17280
56056,26583,17286
55962,26674,17289
55908,26722,17292
55816,26802,17304
55734,26879,17309
55654,26948,17320
55602,26991,17329
55493,27099,17330
55427,27157,17337
55328,27252,17341
55238,27332,17351
55158,27405,17358
55086,27477,17358
54987,27570,17364
54907,27644,17370
54806,27741,17374
54715,27831,17373
54635,27901,17383
54566,27961,17392
54460,28055,17404
54401,28107,17411
54285,28219,17414
54205,28288,17425
54108,28377,17433
54042,28437,17438
53938,28532,17445
