POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
409,125,116,66,6,3,99298
401,126,115,67,4,5,99305
403,127,114,68,4,5,99302
397,130,114,69,3,6,99304
389,137,113,71,3,6,99304
383,139,115,71,4,6,99305
384,139,114,70,5,7,99304
377,141,115,70,5,8,99307
369,145,117,68,7,9,99308
367,146,117,69,7,9,99308
364,148,116,69,7,9,99310
358,152,116,68,7,9,99313
354,155,117,68,7,10,99312
355,155,115,69,7,10,99312
353,158,113,69,6,12,99312
349,158,112,71,6,12,99315
340,163,110,70,8,13,99319
331,170,110,70,8,13,99321
330,171,111,68,9,14,99320
327,170,114,63,12,14,99323
323,172,114,62,12,15,99325
320,171,116,62,12,15,99327
312,175,116,62,12,15,99331
306,175,114,63,12,16,99337
305,175,114,63,9,19,99338
306,173,114,63,6,22,99339
305,172,116,63,5,22,99340
300,172,118,62,5,23,99343
297,171,118,61,6,24,99346
296,174,117,62,5,25,99344
293,173,117,63,5,25,99347
298,173,118,62,7,25,99340
303,172,117,62,7,26,99336
301,174,116,61,8,26,99337
300,176,114,63,8,26,99336
296,172,117,63,7,27,99341
293,176,116,64,6,28,99340
290,178,116,63,5,29,99342
287,181,116,63,5,30,99341
282,184,114,61,4,32,99346
277,186,113,61,4,32,99350
278,185,116,60,4,33,99347
278,187,116,58,5,34,99345
277,189,116,58,5,34,99344
275,191,117,57,5,34,99344
269,195,117,56,5,36,99345
268,195,118,56,5,36,99345
264,196,119,57,5,37,99345
260,195,117,59,5,37,99350
259,194,118,60,4,38,99350
256,195,118,59,4,39,99352
256,196,117,60,4,39,99351
254,193,118,60,3,40,99355
256,192,116,59,5,40,99355
257,190,115,60,6,40,99355
254,188,116,61,5,41,99358
253,186,116,61,5,41,99361
251,186,115,62,5,41,99363
250,178,118,62,3,43,99369
248,179,119,62,3,43,99369
249,179,115,63,4,43,99370
248,172,115,63,6,44,99375
246,172,114,65,6,45,99375
246,172,112,66,6,45,99376
246,170,110,66,7,45,99379
241,172,110,66,7,45,99382
238,170,112,64,6,46,99387
239,167,112,63,7,46,99389
240,165,113,60,9,47,99389
239,161,115,60,7,49,99392
232,159,115,60,7,50,99400
234,156,115,60,7,50,99401
231,154,116,59,8,50,99405
224,156,117,57,8,51,99410
220,159,116,58,8,51,99411
216,161,112,56,11,51,99416
212,164,110,58,9,53,99417
215,162,107,59,8,54,99418
212,159,107,59,8,54,99424
212,155,112,57,7,56,99424
212,153,112,57,7,56,99426
211,148,116,56,9,56,99427
207,151,118,56,7,58,99426
211,151,116,57,5,61,99422
213,149,117,57,5,62,99420
214,149,118,57,4,63,99418
218,146,119,58,3,64,99415
218,148,117,59,3,64,99414
219,145,120,59,2,65,99413
220,138,123,61,2,66,99413
218,132,128,60,3,66,99416
216,130,128,60,3,66,99420
214,130,128,59,4,66,99422
214,130,128,59,4,66,99422
214,131,127,58,4,66,99423
212,131,128,56,4,66,99426
206,131,129,55,4,67,99431
205,131,129,55,4,67,99432
202,130,128,55,3,68,99437
202,129,130,55,4,68,99435
203,127,129,54,4,68,99438
202,128,130,53,5,68,99437
202,127,130,53,5,68,99438
196,124,134,52,6,68,99443
196,123,134,53,5,69,99443
204,121,133,55,4,70,99436
203,120,131,56,4,70,99439
202,117,135,56,3,71,99439
200,118,132,57,3,71,99442
201,118,131,57,3,71,99442
200,116,134,56,4,71,99442
204,115,135,55,4,72,99438
205,114,134,57,3,73,99437
205,113,133,58,3,73,99438
208,113,128,59,3,73,99439
210,109,129,60,2,74,99439
211,109,129,59,3,74,99438
210,108,129,59,2,75,99440
208,107,130,58,3,75,99442
210,107,131,58,3,75,99439
213,106,130,58,3,75,99438
216,106,130,58,3,75,99435
217,103,130,57,4,75,99437
220,103,129,56,5,75,99435
223,103,131,55,4,77,99430
224,103,129,57,4,77,99429
227,103,128,59,4,77,99425
233,102,128,58,4,77,99421
234,102,124,60,3,78,99422
234,104,122,61,3,79,99420
