neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58575,24814,16632
58625,24763,16632
58666,24721,16631
58695,24690,16633
58717,24668,16633
58752,24629,16636
58785,24596,16636
58812,24566,16639
58836,24544,16637
58866,24513,16637
58881,24499,16635
58892,24488,16634
58928,24454,16632
58956,24425,16632
58983,24395,16635
59012,24367,16633
59033,24348,16631
59056,24323,16633
59095,24287,16630
59121,24260,16630
59139,24240,16632
59168,24207,16636
59178,24197,16636
59220,24157,16634
59241,24132,16637
59281,24091,16638
59306,24067,16637
59334,24035,16639
59367,24002,16639
59376,23996,16636
59421,23949,16638
59435,23934,16639
59467,23899,16642
59488,23874,16644
59505,23856,16645
59533,23828,16644
59560,23800,16645
59584,23777,16644
59602,23756,16647
59615,23742,16648
59624,23731,16649
59652,23701,16651
59680,23669,16655
59705,23640,16659
59718,23628,16658
59738,23606,16660
59779,23560,16663
59782,23557,16661
59810,23525,16664
59824,23513,16662
59854,23479,16663
59868,23461,16667
59893,23434,16668
59906,23421,16668
59925,23401,16668
59951,23374,16669
59966,23355,16672
59990,23330,16673
60008,23317,16667
60027,23300,16665
60054,23273,16664
60070,23258,16663
60082,23245,16663
60106,23221,16663
60104,23221,16664
60115,23206,16667
60117,23202,16669
60131,23186,16670
60138,23172,16677
60169,23139,16678
60176,23132,16678
60183,23124,16678
60201,23106,16677
60206,23098,16679
60241,23062,16678
60248,23054,16678
60277,23021,16682
60297,23002,16680
60325,22968,16685
60321,22970,16687
60355,22938,16685
60352,22943,16683
60363,22930,16684
60364,22928,16685
60379,22915,16683
60376,22913,16687
60389,22902,16685
60402,22887,16687
60402,22880,16694
60405,22872,16698
60416,22857,16701
60404,22867,16703
60410,22858,16705
60417,22848,16708
60428,22830,16715
60428,22828,16717
60435,22815,16723
60437,22811,16724
60436,22809,16727
60427,22819,16726
60418,22823,16729
60429,22806,16735
60425,22808,16737
60446,22789,16734
60432,22801,16736
60443,22790,16736
60425,22800,16744
60431,22790,16747
60438,22781,16749
60437,22778,16753
60435,22776,16755
60443,22769,16754
60436,22770,16759
60447,22754,16764
60449,22751,16765
60450,22745,16770
60447,22743,16773
60453,22737,16773
60438,22750,16775
60433,22750,16780
60413,22773,16777
60419,22763,16781
60401,22777,16784
60405,22772,16785
60381,22793,16787
60401,22773,16787
60382,22789,16790
60362,22811,16788
60348,22823,16790
60338,22828,16795
60341,22824,16796
60319,22839,16802
60296,22858,16806
60276,22879,16804
60262,22890,16807
60250,22898,16811
60238,22912,16808
60207,22939,16812
60198,22942,16816
60168,22973,16815
60156,22982,16817
60142,22994,16819
60137,22995,16823
60134,22997,16824
60126,22998,16831
60095,23024,16836
60075,23041,16838
60061,23049,16844
60028,23082,16844
60009,23099,16844
59979,23124,16849
59953,23143,16854
59935,23158,16857
59911,23176,16862
59871,23215,16863
59856,23227,16866
59809,23272,16868
59800,23276,16873
59768,23303,16877
59731,23334,16882
59719,23345,16883
59678,23383,16886
59667,23388,16892
59638,23411,16898
59604,23440,16901
59568,23468,16907
59557,23477,16908
59534,23491,16917
59499,23520,16922
59467,23544,16928
59429,23575,16935
59391,23610,16937
59363,23636,16939
59318,23674,16945
59299,23689,16949
59260,23721,16955
59231,23743,16962
59207,23762,16967
59153,23811,16971
59119,23841,16975
59072,23881,16982
59046,23902,16987
58987,23952,16996
58973,23960,17002
58906,24023,17006
58869,24054,17012
58827,24093,17015
58805,24112,17018
58744,24172,17019
58697,24214,17024
58656,24247,17032
58613,24286,17035
58554,24342,17037
58515,24378,17040
58477,24415,17040
58420,24463,17049
58388,24498,17046
58327,24550,17055
58282,24589,17061
58218,24649,17065
58156,24703,17073
58102,24749,17081
58038,24809,17085
57997,24849,17086
57939,24906,17087
57868,24974,17090
57822,25009,17101
57736,25087,17109
57697,25118,17115
57621,25184,17125
57567,25227,17135
57533,25257,17138
57475,25308,17145
57411,25370,17147
57365,25409,17153
57298,25472,17157
57260,25505,17162
57204,25554,17169
57140,25607,17180
57068,25675,17184
57015,25714,17198
56958,25768,17201
56889,25829,17208
56806,25906,17214
56733,25972,17219
56657,26041,17226
56579,26112,17233
56502,26178,17244
56413,26255,17256
56339,26321,17263
56278,26376,17269
56205,26440,17278
56108,26531,17284
56044,26588,17290
55956,26673,17293
55900,26726,17296
55813,26800,17308
55732,26875,17313
55652,26944,17324
55599,26988,17333
55496,27090,17334
55426,27153,17341
55328,27248,17344
55238,27327,17355
55158,27400,17362
55084,27474,17362
54983,27568,17368
54904,27640,17374
54798,27741,17378
54707,27832,17378
54627,27902,17388
54557,27963,17397
54448,28060,17409
54390,28111,17416
54278,28218,17419
54195,28290,17430
54102,28375,17438
54036,28436,17443
53930,28533,17451
