POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
409,125,116,66,6,3,99298
407,124,115,67,4,5,99301
403,127,115,67,4,5,99302
395,132,114,69,3,6,99304
389,137,114,69,3,6,99305
383,139,115,68,5,6,99307
379,141,115,67,6,8,99307
375,143,115,67,6,8,99309
366,147,115,67,6,9,99313
366,146,115,67,7,9,99313
355,150,115,66,8,9,99320
355,151,116,65,8,9,99319
352,151,115,65,8,10,99322
348,152,116,64,8,10,99325
350,154,113,65,7,12,99322
350,149,112,62,7,14,99329
348,150,111,62,7,15,99330
338,154,110,59,10,15,99337
328,157,111,57,11,15,99344
327,156,111,56,12,15,99346
323,156,113,56,11,16,99348
322,155,114,56,11,16,99349
316,158,111,58,9,18,99353
313,158,112,58,8,18,99356
306,163,112,58,6,20,99358
303,164,113,58,6,20,99359
301,164,112,57,7,20,99362
299,163,112,56,8,20,99365
292,165,114,56,7,21,99368
288,166,115,56,7,21,99370
289,169,112,56,7,22,99368
292,169,111,55,9,22,99365
295,169,109,55,9,23,99363
297,168,109,55,9,23,99362
296,168,107,56,9,23,99364
296,164,108,56,8,24,99367
296,162,109,56,7,25,99368
292,165,109,56,7,25,99369
292,165,107,58,5,27,99369
290,165,107,58,5,27,99371
284,170,106,56,4,29,99374
283,170,106,54,6,29,99375
282,169,107,52,7,29,99377
282,172,107,52,5,30,99375
282,174,107,52,5,30,99373
277,177,109,52,5,30,99373
270,181,107,51,6,31,99377
272,179,107,52,5,32,99376
269,178,109,54,5,32,99376
267,174,110,54,4,33,99381
266,173,109,54,5,33,99383
268,169,108,54,5,33,99386
265,170,104,56,5,34,99389
265,171,104,56,5,34,99388
260,171,105,56,6,34,99391
258,169,105,56,7,34,99394
258,165,106,56,7,34,99397
255,165,106,56,7,34,99400
255,163,104,57,5,36,99403
253,162,104,58,5,36,99405
248,162,101,60,6,36,99410
248,159,101,60,7,37,99411
246,160,99,59,10,37,99412
246,157,96,59,11,38,99416
243,153,96,58,11,38,99424
241,155,96,58,11,38,99424
239,151,96,55,13,39,99430
238,150,96,55,13,39,99432
240,151,97,54,13,40,99428
236,145,98,53,13,41,99437
235,144,98,53,13,41,99439
237,143,98,54,10,44,99437
236,139,99,54,9,46,99440
232,140,101,54,7,47,99442
229,142,102,54,6,48,99442
222,143,102,51,8,49,99448
220,145,101,52,8,49,99448
223,141,102,54,8,49,99446
223,136,103,54,8,49,99450
223,134,102,55,6,51,99452
221,132,104,55,6,51,99454
220,129,104,55,6,51,99458
218,131,104,55,6,51,99458
218,130,103,54,6,52,99460
214,134,104,54,6,52,99459
219,133,100,56,5,54,99456
219,130,101,56,4,55,99458
221,127,103,55,5,55,99457
217,130,102,54,6,55,99459
219,128,102,55,6,55,99458
215,124,106,55,6,55,99462
211,124,107,55,5,56,99465
209,118,111,55,5,56,99469
210,118,111,55,5,56,99468
207,119,111,55,5,56,99470
209,117,112,54,5,57,99469
207,114,115,54,5,57,99471
208,113,115,54,5,57,99471
207,110,116,54,4,58,99474
207,110,111,54,5,58,99478
209,110,111,54,5,58,99476
210,107,114,53,6,58,99475
208,108,115,53,6,58,99475
204,110,116,52,7,58,99476
207,109,116,52,6,59,99474
207,107,116,52,5,60,99476
210,108,116,53,5,60,99471
209,108,115,54,5,60,99472
208,107,115,53,5,60,99475
206,105,118,52,5,60,99477
204,104,117,53,6,60,99479
206,101,117,52,6,61,99480
208,101,116,51,8,61,99478
211,99,117,51,7,62,99476
217,98,113,54,7,62,99472
215,98,113,55,7,62,99473
212,100,111,54,7,63,99476
211,100,110,54,6,64,99478
213,99,109,53,5,66,99478
211,99,107,53,5,66,99482
211,101,107,52,5,66,99481
213,96,109,52,5,66,99482
214,95,109,51,5,67,99482
216,94,108,50,6,67,99482
217,93,106,51,6,67,99483
220,91,105,52,6,67,99482
221,92,105,52,5,68,99480
224,91,106,52,5,68,99477
224,91,103,54,6,68,99477
223,93,103,54,6,68,99476
