neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58574,24814,16632
58625,24763,16630
58666,24721,16631
58695,24690,16633
58717,24668,16633
58752,24629,16636
58785,24596,16636
58812,24566,16639
58836,24544,16637
58867,24513,16637
58882,24499,16636
58893,24488,16635
58929,24454,16633
58957,24425,16633
58984,24395,16636
59013,24367,16634
59034,24348,16632
59057,24323,16634
59096,24287,16631
59123,24260,16631
59141,24240,16633
59170,24207,16637
59180,24197,16637
59222,24157,16635
59243,24132,16637
59283,24089,16638
59308,24065,16637
59336,24035,16639
59369,24002,16639
59377,23996,16636
59421,23949,16638
59435,23934,16639
59467,23899,16641
59489,23874,16644
59506,23856,16645
59535,23828,16644
59562,23800,16645
59586,23777,16644
59604,23756,16647
59616,23741,16648
59625,23731,16649
59653,23700,16651
59681,23668,16655
59706,23639,16659
59718,23627,16658
59737,23604,16660
59779,23559,16663
59784,23556,16661
59813,23522,16664
59827,23510,16662
59857,23479,16663
59871,23461,16667
59896,23433,16669
59909,23420,16669
59929,23400,16668
59955,23373,16669
59970,23354,16672
59994,23329,16673
60012,23316,16667
60031,23299,16665
60059,23272,16664
60076,23256,16663
60087,23245,16663
60112,23220,16663
60110,23220,16665
60121,23205,16668
60123,23201,16670
60138,23185,16671
60145,23171,16678
60176,23139,16679
60182,23133,16679
60190,23124,16679
60207,23106,16679
60213,23098,16681
60249,23062,16680
60257,23054,16680
60286,23020,16684
60306,23002,16682
60334,22969,16687
60330,22971,16689
60364,22939,16687
60360,22944,16685
60372,22931,16686
60373,22929,16687
60388,22916,16684
60385,22914,16689
60398,22903,16687
60411,22888,16689
60411,22881,16696
60415,22873,16700
60427,22858,16703
60415,22868,16705
60421,22859,16708
60428,22849,16711
60439,22831,16718
60438,22829,16720
60445,22816,16726
60446,22814,16727
60446,22811,16730
60437,22820,16729
60429,22825,16732
60441,22807,16738
60435,22811,16740
60456,22792,16738
60442,22804,16740
60453,22793,16740
60435,22803,16748
60442,22793,16751
60449,22784,16753
60448,22781,16757
60445,22781,16758
60455,22772,16756
60449,22773,16761
60460,22757,16766
60460,22755,16767
60462,22748,16772
60459,22746,16776
60465,22740,16776
60449,22754,16778
60445,22753,16783
60425,22776,16780
60431,22766,16784
60413,22780,16787
60417,22775,16788
60393,22796,16791
60413,22776,16791
60394,22792,16794
60374,22814,16792
60361,22825,16794
60349,22832,16799
60353,22827,16800
60332,22842,16806
60309,22861,16807
60289,22883,16805
60275,22894,16808
60263,22902,16812
60251,22916,16809
60219,22944,16813
60211,22947,16818
60182,22976,16817
60170,22985,16820
60154,22999,16822
60151,22998,16826
60146,23001,16827
60139,23001,16834
60107,23028,16838
60087,23046,16839
60074,23052,16845
60041,23085,16844
60024,23102,16844
59991,23129,16849
59969,23145,16855
59949,23162,16858
59927,23179,16863
59887,23218,16864
59872,23230,16867
59826,23274,16869
59814,23281,16874
59783,23307,16878
59744,23340,16883
59731,23351,16884
59691,23388,16887
59679,23393,16892
59650,23416,16898
59618,23444,16902
59583,23473,16908
59573,23481,16910
59550,23495,16919
59515,23525,16924
59483,23551,16930
59448,23579,16937
59411,23614,16939
59382,23640,16941
59336,23679,16947
59318,23693,16951
59280,23725,16956
59247,23751,16963
59223,23770,16968
59171,23818,16972
59135,23850,16976
59087,23890,16984
59061,23911,16989
59003,23961,16997
58987,23971,17003
58922,24032,17007
58883,24065,17013
58844,24101,17016
58821,24121,17019
58760,24181,17020
58714,24222,17025
58669,24259,17033
58629,24294,17037
58572,24349,17039
58533,24385,17042
58495,24423,17042
58437,24472,17051
58404,24507,17048
58345,24557,17057
58296,24600,17063
58234,24658,17067
58170,24714,17075
58119,24757,17083
58049,24823,17086
58010,24861,17087
57952,24918,17088
57879,24988,17091
57834,25021,17103
57748,25099,17111
57711,25130,17117
57634,25197,17127
57579,25242,17137
57546,25272,17140
57491,25320,17147
57425,25384,17149
57386,25417,17155
57316,25483,17159
57274,25519,17165
57223,25563,17172
57157,25617,17183
57083,25687,17187
57029,25727,17201
56972,25781,17204
56901,25845,17211
56820,25920,17217
56748,25986,17223
56671,26056,17230
56590,26131,17236
56517,26193,17247
56427,26271,17259
56348,26343,17266
56291,26394,17272
56215,26460,17281
56117,26552,17287
56059,26604,17293
55966,26693,17297
55913,26743,17300
55825,26819,17311
55741,26896,17317
55662,26964,17328
55608,27010,17336
55502,27114,17337
55436,27173,17344
55339,27266,17348
55244,27351,17358
55166,27422,17365
55089,27499,17365
54990,27592,17371
54914,27662,17377
54807,27765,17381
54717,27854,17381
54637,27924,17391
54570,27982,17400
54460,28080,17412
54404,28129,17419
54290,28240,17422
54213,28306,17433
54111,28400,17440
54044,28461,17445
53946,28550,17454
