neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58574,24813,16631
58625,24761,16629
58666,24719,16630
58695,24688,16632
58717,24666,16632
58751,24627,16636
58784,24594,16635
58811,24564,16637
58835,24542,16635
58866,24511,16635
58881,24497,16634
58892,24486,16633
58928,24452,16631
58956,24423,16631
58983,24392,16634
59012,24365,16632
59033,24346,16630
59056,24321,16632
59095,24285,16629
59122,24258,16629
59140,24238,16631
59169,24205,16635
59179,24195,16635
59220,24155,16632
59242,24130,16635
59281,24089,16636
59306,24063,16635
59333,24033,16637
59366,24000,16637
59375,23994,16634
59420,23947,16636
59434,23932,16637
59465,23897,16640
59487,23872,16643
59504,23854,16644
59533,23826,16643
59560,23798,16643
59584,23775,16642
59602,23754,16645
59615,23739,16646
59624,23729,16647
59652,23699,16649
59680,23667,16653
59705,23638,16657
59715,23626,16656
59735,23603,16658
59777,23558,16661
59782,23554,16659
59811,23522,16662
59825,23510,16660
59855,23479,16661
59869,23461,16665
59894,23433,16667
59907,23420,16667
59927,23399,16667
59951,23371,16668
59967,23352,16671
59990,23327,16672
60009,23313,16667
60027,23297,16665
60055,23270,16664
60072,23254,16663
60084,23242,16663
60107,23218,16663
60105,23218,16665
60117,23203,16668
60119,23199,16670
60134,23183,16671
60141,23169,16678
60172,23137,16679
60179,23130,16679
60186,23122,16679
60204,23104,16679
60208,23096,16681
60244,23060,16680
60253,23051,16680
60281,23019,16684
60302,22999,16682
60330,22966,16687
60325,22969,16689
60359,22937,16687
60356,22941,16684
60366,22929,16685
60367,22927,16685
60381,22915,16683
60379,22912,16687
60393,22900,16685
60405,22886,16687
60404,22879,16694
60409,22870,16698
60419,22856,16700
60406,22866,16701
60412,22857,16704
60420,22846,16707
60430,22829,16714
60428,22828,16716
60435,22815,16722
60436,22812,16723
60436,22809,16726
60427,22819,16725
60417,22825,16728
60430,22806,16734
60423,22811,16736
60445,22791,16733
60430,22804,16735
60442,22792,16735
60423,22803,16743
60431,22792,16746
60437,22784,16747
60436,22781,16751
60434,22781,16753
60444,22772,16752
60438,22773,16757
60449,22756,16762
60451,22753,16763
60451,22747,16768
60450,22744,16771
60456,22738,16771
60440,22752,16772
60435,22752,16777
60416,22774,16774
60422,22763,16778
60404,22777,16781
60407,22773,16782
60383,22793,16785
60404,22772,16785
60384,22789,16788
60364,22811,16785
60352,22820,16787
60338,22829,16792
60343,22823,16793
60320,22840,16799
60297,22859,16803
60276,22880,16801
60262,22891,16804
60251,22897,16808
60238,22912,16805
60208,22938,16809
60197,22943,16814
60170,22970,16813
60155,22982,16815
60139,22995,16817
60137,22993,16820
60132,22997,16821
60125,22995,16828
60092,23023,16833
60071,23042,16835
60057,23050,16840
60024,23082,16839
60008,23098,16839
59975,23126,16844
59956,23139,16850
59934,23158,16853
59911,23176,16858
59872,23214,16859
59858,23225,16862
59813,23268,16864
59801,23275,16868
59770,23301,16873
59733,23333,16878
59723,23342,16879
59681,23380,16882
59671,23384,16888
59641,23407,16894
59607,23435,16898
59570,23466,16904
59564,23470,16905
59537,23488,16914
59502,23518,16919
59469,23543,16926
59434,23571,16932
59396,23606,16934
59369,23631,16936
59323,23671,16942
59305,23685,16946
59266,23718,16952
59237,23740,16959
59212,23760,16964
59160,23808,16968
59127,23836,16971
59078,23877,16979
59053,23897,16984
58996,23946,16992
58981,23955,16998
58915,24017,17002
58877,24048,17007
58833,24088,17010
58813,24105,17013
58751,24165,17013
58700,24211,17018
58661,24242,17026
58616,24282,17030
58559,24337,17032
58519,24374,17035
58482,24411,17035
58425,24458,17044
58393,24493,17041
58335,24542,17050
58289,24582,17056
58223,24644,17060
58162,24698,17067
58109,24743,17075
58044,24803,17080
58002,24844,17081
57945,24900,17082
57873,24969,17085
57827,25004,17096
57741,25082,17104
57702,25115,17110
57626,25181,17120
57572,25225,17130
57535,25259,17133
57481,25306,17140
57411,25373,17142
57373,25405,17148
57303,25471,17152
57264,25504,17157
57210,25551,17164
57146,25604,17175
57073,25673,17179
57022,25710,17193
56963,25766,17196
56893,25829,17203
56809,25907,17209
56738,25972,17215
56663,26040,17222
56584,26113,17227
56509,26177,17238
56416,26258,17250
56343,26324,17257
56279,26382,17263
56209,26443,17272
56108,26538,17278
56051,26589,17283
55957,26680,17286
55903,26729,17289
55812,26807,17301
55733,26881,17306
55652,26951,17317
55602,26992,17326
55493,27100,17327
55426,27160,17334
55333,27249,17338
55238,27334,17348
55157,27408,17355
55080,27484,17355
54983,27575,17361
54904,27648,17367
54800,27748,17371
54711,27837,17369
54629,27909,17379
54562,27967,17388
54452,28064,17400
54392,28117,17407
54279,28227,17409
54202,28293,17420
54102,28385,17428
54035,28447,17433
53939,28534,17442
