POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
412,122,115,66,7,2,99299
402,126,115,66,4,5,99305
399,126,113,69,4,5,99307
395,128,113,69,3,6,99309
380,138,111,70,4,6,99314
379,136,110,70,4,6,99318
377,139,111,69,5,8,99314
377,138,112,68,5,8,99315
361,142,114,66,7,9,99324
360,141,114,67,7,9,99325
354,142,114,67,7,9,99330
351,147,114,66,8,9,99328
349,148,115,66,8,9,99328
341,149,111,67,7,11,99337
342,149,111,66,7,12,99336
331,148,106,68,6,14,99350
321,154,105,67,7,15,99354
318,156,105,66,8,15,99355
310,158,106,64,10,15,99360
312,159,106,63,11,15,99357
310,161,106,62,10,16,99358
308,159,108,60,11,16,99361
305,160,108,61,11,16,99362
293,170,107,62,7,20,99364
287,172,108,62,4,22,99368
285,172,109,62,4,22,99369
285,171,110,62,3,23,99369
283,167,113,61,4,23,99372
273,170,112,60,4,24,99380
270,172,111,62,4,24,99380
270,172,113,61,5,24,99378
271,172,112,61,7,24,99376
273,172,111,61,7,25,99374
272,172,111,61,7,25,99375
274,174,109,62,7,25,99372
271,173,109,62,7,25,99376
271,173,108,62,6,26,99377
265,172,109,60,5,28,99384
267,172,108,60,5,28,99383
262,171,106,61,5,29,99389
256,173,105,60,5,30,99394
256,170,107,60,4,31,99395
257,168,108,59,4,32,99395
255,170,109,59,4,32,99394
251,176,109,57,3,33,99394
243,182,109,55,5,33,99396
244,182,108,56,4,34,99395
241,180,108,57,4,35,99398
235,182,107,59,4,35,99401
229,178,107,60,3,36,99410
227,178,106,59,4,36,99413
230,176,107,58,4,36,99412
229,173,107,59,4,37,99414
229,173,105,58,4,37,99417
227,169,104,56,6,37,99424
226,167,101,56,5,38,99430
223,164,102,56,5,38,99435
222,162,100,57,5,38,99439
216,157,101,56,3,40,99450
215,158,101,56,3,40,99450
213,157,102,56,4,40,99451
212,156,100,54,7,40,99454
212,151,97,55,6,42,99460
213,150,96,54,8,42,99460
212,150,96,54,8,42,99461
206,153,98,51,10,42,99463
207,149,103,50,9,43,99462
207,147,103,50,9,43,99464
210,144,103,49,9,44,99464
208,141,103,50,7,46,99468
206,140,99,50,6,48,99474
208,132,102,49,5,49,99478
208,128,106,48,6,49,99478
206,126,104,49,5,50,99483
203,126,104,49,5,50,99486
199,127,101,46,9,50,99491
198,126,101,48,8,51,99491
200,123,101,48,8,51,99492
198,120,102,49,6,52,99496
196,116,105,47,7,53,99499
196,116,105,47,7,53,99499
198,112,105,48,6,54,99500
193,113,106,49,5,55,99502
190,115,103,51,4,56,99504
196,113,106,51,2,58,99497
196,115,104,51,2,58,99497
202,112,105,53,1,59,99491
202,112,105,53,1,59,99491
201,110,106,54,1,59,99492
198,109,106,53,2,59,99496
196,108,105,53,3,59,99499
194,107,105,52,3,59,99503
190,101,110,52,3,59,99508
189,102,109,51,3,59,99510
190,102,109,51,2,60,99509
188,100,112,51,2,60,99510
185,100,114,49,3,60,99512
177,100,113,49,3,61,99520
177,96,113,50,3,61,99523
178,95,114,50,3,61,99522
182,93,113,50,2,62,99521
184,91,114,49,3,62,99520
183,92,112,49,4,62,99521
181,87,115,50,4,63,99523
180,87,115,49,4,63,99525
182,89,112,51,3,64,99522
182,90,112,51,3,64,99521
182,86,111,54,3,64,99523
178,88,111,53,3,64,99526
172,87,110,52,4,64,99534
176,84,111,53,4,64,99531
177,84,111,52,5,64,99530
181,83,110,52,4,66,99527
182,81,107,55,4,66,99528
186,77,110,54,4,66,99526
189,78,108,56,4,66,99522
189,78,107,56,3,67,99523
188,79,107,55,2,69,99523
187,80,105,55,2,69,99525
186,81,103,55,2,69,99527
188,79,101,55,2,69,99529
187,79,101,54,3,69,99530
188,77,102,54,3,69,99530
191,77,101,53,4,69,99528
195,77,99,53,5,69,99525
199,78,96,55,5,69,99521
200,77,96,56,4,70,99520
198,77,96,56,4,70,99522
198,76,95,56,4,71,99523
199,76,92,57,3,72,99524
