neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58575,24814,16632
58625,24763,16630
58666,24721,16631
58695,24690,16633
58716,24668,16633
58751,24629,16636
58784,24596,16636
58811,24566,16639
58835,24544,16637
58866,24513,16637
58881,24499,16636
58891,24488,16635
58927,24454,16633
58956,24425,16633
58983,24394,16636
59012,24367,16634
59033,24348,16632
59056,24323,16634
59095,24287,16631
59122,24260,16631
59140,24240,16633
59169,24207,16637
59179,24197,16637
59221,24157,16635
59243,24132,16638
59282,24091,16639
59307,24065,16638
59335,24035,16640
59368,24002,16640
59377,23996,16637
59419,23949,16638
59433,23934,16639
59465,23899,16642
59487,23874,16645
59504,23856,16646
59533,23828,16645
59560,23800,16646
59584,23777,16645
59602,23756,16648
59614,23742,16649
59623,23731,16650
59651,23701,16652
59679,23669,16656
59704,23640,16660
59714,23628,16659
59735,23605,16661
59776,23559,16664
59781,23555,16660
59810,23523,16663
59824,23511,16661
59854,23480,16662
59868,23462,16666
59893,23435,16668
59905,23421,16668
59924,23401,16668
59950,23374,16669
59966,23355,16672
59989,23329,16673
60006,23316,16668
60025,23299,16666
60053,23272,16665
60069,23257,16664
60081,23244,16664
60105,23220,16664
60102,23220,16666
60114,23205,16669
60115,23201,16671
60130,23185,16672
60137,23171,16679
60168,23139,16680
60175,23132,16680
60181,23125,16680
60198,23107,16680
60204,23099,16682
60240,23063,16682
60248,23054,16682
60278,23020,16686
60296,23003,16684
60324,22970,16689
60320,22972,16691
60351,22940,16688
60349,22944,16686
60360,22932,16687
60362,22929,16688
60376,22917,16686
60374,22914,16690
60387,22903,16688
60400,22888,16690
60400,22881,16697
60404,22873,16701
60416,22858,16703
60404,22868,16705
60410,22859,16708
60416,22849,16711
60427,22831,16718
60426,22830,16720
60433,22817,16726
60434,22814,16727
60434,22811,16730
60425,22821,16729
60415,22827,16732
60428,22808,16738
60421,22813,16740
60443,22793,16738
60428,22806,16740
60440,22794,16740
60421,22805,16747
60429,22794,16750
60435,22786,16752
60435,22782,16756
60433,22782,16758
60442,22774,16757
60436,22775,16762
60447,22759,16767
60449,22756,16768
60450,22750,16773
60448,22747,16777
60453,22742,16776
60438,22755,16778
60433,22755,16783
60414,22777,16780
60421,22766,16784
60402,22782,16787
60406,22776,16788
60382,22796,16792
60402,22776,16791
60383,22792,16794
60362,22814,16792
60351,22823,16794
60336,22832,16799
60341,22826,16800
60319,22842,16806
60295,22862,16810
60276,22882,16808
60260,22893,16811
60248,22900,16815
60238,22913,16812
60204,22942,16816
60198,22943,16820
60168,22974,16819
60156,22983,16821
60142,22995,16823
60138,22993,16826
60133,22997,16826
60127,22996,16833
60094,23022,16838
60074,23040,16840
60060,23048,16846
60027,23081,16846
60011,23097,16846
59977,23126,16851
59956,23141,16857
59935,23159,16859
59911,23178,16864
59872,23216,16865
59858,23227,16868
59810,23272,16870
59800,23277,16874
59768,23304,16879
59732,23335,16884
59722,23344,16885
59680,23383,16888
59669,23388,16894
59639,23411,16900
59609,23437,16904
59571,23469,16910
59561,23477,16912
59537,23490,16921
59503,23519,16926
59470,23545,16933
59436,23573,16939
59399,23608,16941
59369,23635,16943
59324,23674,16949
59306,23688,16953
59267,23721,16959
59237,23744,16966
59212,23764,16971
59161,23810,16975
59128,23839,16979
59076,23883,16987
59054,23900,16992
58997,23949,17000
58982,23958,17005
58915,24021,17009
58880,24050,17015
58835,24092,17018
58814,24110,17020
58755,24168,17021
58708,24210,17026
58663,24247,17034
58623,24283,17038
58568,24336,17040
58527,24374,17043
58490,24411,17043
58431,24460,17052
58401,24493,17049
58336,24549,17058
58294,24585,17064
58228,24647,17068
58163,24704,17075
58110,24749,17083
58040,24814,17088
58001,24852,17089
57942,24910,17090
57870,24979,17093
57826,25012,17104
57737,25093,17112
57703,25121,17118
57626,25188,17128
57570,25232,17138
57538,25261,17141
57482,25310,17148
57414,25375,17150
57375,25407,17156
57306,25472,17160
57267,25506,17165
57213,25553,17172
57148,25607,17183
57077,25674,17187
57021,25716,17201
56966,25768,17204
56893,25834,17211
56810,25910,17217
56738,25977,17222
56662,26046,17229
56586,26115,17236
56508,26181,17247
56421,26255,17259
56344,26325,17266
56285,26377,17272
56214,26439,17281
56113,26534,17287
56055,26585,17293
55961,26676,17296
55909,26725,17299
55817,26805,17311
55736,26880,17316
55655,26950,17327
55604,26991,17336
55495,27098,17337
55430,27156,17344
55333,27249,17348
55240,27332,17358
55159,27406,17365
55085,27480,17365
54985,27574,17371
54908,27645,17377
54802,27747,17381
54711,27836,17381
54633,27904,17391
54562,27966,17400
54455,28061,17412
54392,28117,17419
54283,28222,17422
54202,28292,17433
54104,28382,17441
54036,28445,17446
53932,28540,17455
