neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58574,24814,16631
58625,24763,16631
58666,24720,16630
58695,24689,16632
58717,24667,16632
58752,24628,16635
58785,24595,16635
58812,24564,16638
58836,24542,16636
58867,24511,16636
58882,24497,16635
58892,24486,16634
58928,24452,16632
58957,24423,16632
58983,24393,16635
59012,24365,16633
59033,24346,16631
59056,24321,16633
59095,24285,16630
59122,24258,16630
59140,24238,16632
59169,24205,16636
59179,24195,16636
59221,24155,16634
59242,24130,16636
59282,24089,16637
59306,24063,16636
59334,24033,16638
59367,23999,16638
59375,23993,16634
59420,23946,16636
59434,23931,16637
59465,23896,16639
59486,23871,16642
59503,23853,16643
59532,23825,16642
59558,23797,16643
59581,23774,16642
59599,23753,16645
59612,23737,16646
59621,23727,16647
59649,23697,16649
59677,23665,16653
59702,23636,16657
59715,23624,16656
59733,23601,16658
59775,23556,16661
59780,23553,16659
59809,23519,16662
59823,23507,16660
59853,23476,16661
59867,23457,16665
59891,23430,16666
59904,23417,16666
59922,23397,16666
59948,23370,16667
59964,23351,16670
59987,23326,16671
60005,23313,16666
60024,23296,16664
60052,23268,16663
60069,23252,16662
60081,23240,16662
60105,23216,16661
60103,23216,16663
60115,23201,16666
60116,23198,16668
60133,23180,16669
60140,23166,16676
60170,23135,16677
60178,23127,16677
60184,23119,16677
60202,23101,16677
60208,23093,16679
60243,23057,16679
60251,23048,16679
60280,23015,16683
60300,22997,16681
60328,22964,16686
60323,22965,16688
60355,22933,16686
60352,22938,16684
60364,22924,16685
60364,22923,16686
60380,22909,16684
60376,22908,16688
60390,22896,16686
60402,22881,16688
60402,22874,16695
60406,22866,16699
60418,22851,16701
60406,22861,16703
60412,22852,16706
60420,22841,16709
60430,22824,16716
60429,22822,16717
60436,22809,16723
60437,22807,16724
60437,22803,16727
60427,22814,16726
60419,22819,16729
60430,22802,16735
60425,22805,16737
60446,22786,16735
60430,22799,16736
60442,22787,16736
60424,22797,16744
60431,22787,16747
60437,22777,16749
60437,22773,16753
60435,22773,16755
60445,22764,16754
60439,22765,16759
60450,22749,16764
60451,22747,16765
60453,22740,16770
60451,22738,16774
60457,22732,16774
60440,22747,16776
60436,22746,16781
60418,22767,16778
60425,22756,16782
60404,22774,16785
60408,22769,16786
60388,22786,16789
60403,22770,16789
60385,22785,16792
60365,22807,16789
60351,22819,16791
60339,22826,16796
60343,22821,16797
60322,22836,16803
60300,22855,16806
60279,22877,16804
60266,22887,16807
60255,22893,16811
60240,22910,16808
60209,22936,16812
60201,22939,16817
60172,22969,16813
60159,22979,16816
60145,22991,16817
60140,22992,16821
60136,22995,16822
60130,22994,16829
60096,23022,16834
60074,23041,16836
60061,23048,16842
60030,23079,16842
60011,23097,16842
59978,23125,16847
59958,23139,16853
59936,23157,16855
59913,23174,16860
59874,23211,16862
59859,23223,16865
59816,23264,16867
59802,23273,16871
59772,23298,16876
59734,23331,16881
59724,23338,16882
59682,23377,16885
59673,23380,16891
59644,23403,16897
59612,23429,16901
59574,23461,16907
59566,23466,16908
59542,23481,16917
59506,23512,16922
59476,23535,16927
59437,23566,16934
59398,23603,16936
59372,23627,16938
59324,23669,16944
59307,23682,16948
59269,23714,16954
59238,23738,16961
59214,23756,16966
59160,23806,16970
59126,23836,16974
59080,23874,16982
59054,23895,16987
58996,23945,16995
58982,23953,17001
58914,24017,17005
58877,24048,17011
58837,24085,17013
58814,24105,17015
58751,24167,17016
58704,24209,17021
58662,24243,17029
58624,24277,17033
58563,24335,17035
58525,24370,17038
58487,24408,17038
58429,24457,17047
58396,24493,17044
58340,24540,17053
58293,24581,17059
58226,24644,17062
58162,24700,17070
58113,24741,17078
58039,24810,17082
58002,24846,17083
57942,24905,17084
57872,24972,17087
57827,25006,17098
57742,25083,17106
57703,25116,17112
57628,25181,17122
57571,25227,17132
57535,25260,17135
57481,25307,17142
57415,25371,17144
57374,25404,17150
57302,25472,17154
57268,25501,17159
57213,25549,17166
57146,25603,17177
57073,25672,17181
57023,25708,17195
56963,25764,17198
56892,25829,17204
56811,25903,17210
56736,25971,17217
56664,26036,17224
56580,26114,17230
56514,26170,17240
56417,26255,17252
56348,26317,17259
56287,26372,17265
56211,26438,17274
56115,26528,17280
56055,26582,17286
55968,26665,17289
55908,26719,17291
55823,26792,17303
55739,26871,17308
55660,26939,17319
55608,26981,17329
55499,27088,17330
55440,27140,17337
55341,27234,17341
55251,27315,17350
55169,27390,17357
55096,27463,17357
54995,27558,17363
54916,27630,17369
54815,27727,17373
54723,27819,17373
54643,27888,17383
54576,27946,17392
54465,28045,17404
54406,28097,17411
54292,28207,17414
54210,28278,17425
54115,28365,17433
54048,28427,17438
53951,28515,17447
