key,value
cached,false
seed,12345
run,0.0
total,4063
white,1250
black,2438
male,2052
female,2011
stage1,0
stage2,0
stage3,0
stage4,0
polyp,10
nocancer,4053
0-4,225
5-9,253
10-14,224
15-19,250
20-24,369
25-29,349
30-34,324
35-39,319
40-44,310
45-49,297
50-54,241
55-59,200
60-64,203
65-69,145
70-74,123
75-79,114
80-84,57
85-89,39
90-94,21
95-99,0
