Smokes,Does not smoke
19474,80549
20243,79778
20622,79398
20152,79866
20460,79558
20083,79935
20373,79643
20026,79990
20276,79740
19871,80145
20119,79897
19793,80223
20100,79915
19760,80255
20110,79904
19751,80263
20043,79970
19692,80321
20022,79991
19666,80347
19974,80039
19631,80382
19902,80111
19530,80483
19841,80172
19489,80523
19844,80168
19498,80513
19823,80186
19478,80531
19794,80214
19435,80573
19733,80274
19405,80602
19720,80285
19391,80614
19692,80313
19383,80622
19717,80288
19409,80596
19723,80282
19388,80616
19688,80316
19358,80646
19659,80345
19343,80660
19644,80359
19336,80666
19640,80360
19334,80665
19638,80361
19334,80662
19635,80361
19334,80662
19635,80361
19334,80661
19635,80360
19334,80660
19635,80359
19334,80659
19635,80358
19334,80659
19635,80358
19333,80659
19633,80359
19331,80661
19633,80359
19331,80661
19633,80358
19330,80661
19630,80358
19327,80661
19628,80359
19327,80660
19628,80358
19330,80655
19634,80351
19332,80653
19636,80348
19333,80650
19635,80348
19328,80654
19643,80339
19339,80642
19654,80326
19353,80627
19674,80305
19364,80615
19680,80299
19364,80615
19676,80301
19346,80630
19669,80307
19339,80636
19662,80313
19330,80645
19660,80315
19328,80647
19659,80315
19319,80655
19644,80330
19295,80677
19625,80347
19271,80701
19602,80369
19260,80711
19588,80383
19254,80717
19580,80391
19246,80725
19577,80394
19248,80722
19575,80394
19248,80721
19575,80394
19248,80721
19575,80394
19247,80719
19574,80392
19247,80719
19574,80391
19247,80718
19574,80390
19246,80717
19573,80390
19246,80717
19573,80390
19246,80717
19573,80389
19246,80716
19573,80389
19246,80716
19573,80389
19246,80716
19573,80388
19246,80715
19573,80388
19246,80714
19573,80387
19245,80713
19572,80386
19243,80713
19565,80391
19240,80715
19561,80394
19240,80715
19561,80394
19241,80713
19571,80383
19247,80707
19576,80378
19247,80707
19572,80381
19242,80711
19564,80388
19235,80717
19561,80391
19233,80718
19561,80390
19233,80717
19561,80389
19233,80717
19561,80389
19232,80717
19562,80386
19235,80712
19569,80376
19255,80690
19585,80360
19277,80667
19616,80328
19301,80643
19643,80300
19321,80622
19661,80282
19342,80601
19683,80259
19367,80575
19704,80238
19371,80570
19705,80236
19371,80570
19705,80236
19371,80569
19704,80236
19371,80569
19704,80236
19371,80569
19703,80236
19371,80568
19703,80236
19371,80568
19703,80236
19371,80568
19703,80236
19371,80568
19703,80236
19371,80568
19703,80234
19371,80566
19703,80234
19374,80562
19705,80231
19377,80559
19706,80230
19377,80559
19706,80230
19377,80559
19706,80230
19377,80559
19705,80230
19377,80558
19705,80230
19377,80558
19705,80230
19377,80558
19705,80228
19376,80557
19705,80228
19376,80557
19705,80228
19376,80557
19705,80228
19376,80556
19706,80226
19374,80557
19706,80225
19374,80557
19706,80225
19374,80557
19706,80223
19372,80557
19706,80223
19372,80557
19706,80222
19371,80557
19706,80222
19371,80556
19706,80221
19371,80556
19706,80221
19368,80558
19703,80223
19356,80570
19684,80242
19332,80594
19649,80277
19302,80624
19619,80307
19274,80651
19601,80324
19254,80671
19584,80341
19236,80689
19565,80360
19229,80696
19558,80366
19224,80700
19558,80366
19224,80699
