POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
409,125,116,66,6,3,99298
401,126,115,67,4,5,99305
403,127,114,68,4,5,99302
398,130,114,69,3,6,99303
388,137,112,71,3,6,99306
379,139,114,71,4,6,99310
378,136,114,69,5,7,99314
371,138,115,69,5,8,99317
364,140,117,67,7,9,99319
360,141,117,68,7,9,99321
359,142,116,68,7,9,99322
352,146,115,66,8,9,99327
346,148,117,65,8,10,99329
348,148,116,66,8,10,99327
348,150,115,66,7,12,99325
343,148,113,68,7,12,99332
336,154,112,67,8,14,99332
328,159,111,67,7,15,99336
324,159,111,66,8,15,99340
320,159,114,63,11,15,99341
317,162,114,62,11,16,99341
315,160,115,62,11,16,99344
305,163,115,61,11,16,99352
301,166,113,62,11,17,99353
301,166,114,61,8,20,99353
301,167,112,61,6,22,99354
300,165,113,61,6,22,99356
295,163,115,60,6,23,99361
289,163,117,59,7,24,99364
289,164,114,61,6,25,99364
286,166,112,62,6,25,99366
289,167,113,61,8,25,99360
292,166,112,61,8,26,99358
289,169,112,61,8,26,99358
289,169,109,62,8,26,99360
286,163,110,61,7,27,99369
285,166,110,60,6,28,99368
283,168,110,60,5,29,99368
281,165,109,60,6,29,99373
276,167,108,59,5,31,99377
271,169,107,60,5,31,99380
271,167,110,59,5,32,99379
273,169,110,57,6,33,99375
272,169,110,57,6,33,99376
268,171,113,57,6,33,99375
266,175,112,55,6,35,99374
265,175,112,54,6,35,99376
261,175,112,55,6,36,99378
258,174,112,57,6,36,99380
256,173,110,57,5,37,99385
251,175,112,55,5,38,99387
251,174,111,56,5,38,99388
251,170,112,56,4,39,99391
250,167,112,56,6,39,99393
249,163,112,56,7,39,99397
245,161,113,56,6,40,99402
243,158,113,57,6,40,99406
242,158,112,58,6,40,99407
242,156,113,59,4,42,99407
241,156,112,59,3,42,99410
242,157,112,58,4,42,99408
240,151,110,57,6,43,99416
238,146,108,58,7,43,99423
238,145,107,59,7,43,99424
241,144,106,58,9,43,99422
234,147,105,57,10,43,99427
228,147,110,56,10,44,99428
229,145,111,54,12,44,99428
228,143,111,53,11,45,99432
227,141,111,53,9,47,99435
222,141,109,53,8,49,99441
225,138,111,53,6,50,99440
224,135,113,53,7,50,99441
219,138,113,53,6,51,99443
215,141,112,53,6,51,99445
211,143,111,51,8,51,99448
206,146,109,53,7,52,99450
210,141,111,53,6,53,99449
208,140,110,54,6,53,99452
208,137,112,53,6,54,99453
208,137,111,53,6,54,99454
207,136,108,53,6,55,99458
206,137,108,53,5,56,99458
208,138,106,54,4,58,99455
212,133,109,54,4,59,99452
213,133,109,54,4,59,99451
216,130,112,53,3,60,99449
216,130,109,54,3,60,99451
219,126,110,55,2,61,99450
220,121,114,53,2,62,99451
216,124,114,53,2,62,99452
213,125,115,53,2,62,99453
210,126,113,52,2,62,99458
210,126,113,52,2,62,99458
213,125,113,53,2,62,99455
212,122,115,52,3,62,99457
209,119,115,52,3,62,99463
207,119,115,52,3,62,99465
206,120,112,53,3,62,99467
207,121,109,55,2,63,99466
209,121,111,55,2,63,99462
208,123,111,54,3,63,99461
207,121,114,54,3,63,99461
200,120,119,52,4,63,99465
200,119,119,52,4,63,99466
207,115,116,54,3,64,99464
207,113,115,54,3,64,99467
206,111,115,54,3,64,99470
203,111,115,55,3,64,99472
203,111,114,56,3,64,99472
206,109,116,54,4,64,99470
209,108,117,52,5,65,99467
210,107,117,53,4,66,99466
211,106,116,54,4,66,99466
215,105,117,54,4,66,99462
213,104,118,54,4,67,99463
214,104,118,53,5,67,99462
212,106,117,52,4,68,99464
212,105,118,51,3,69,99465
212,103,119,51,3,69,99466
214,103,119,51,2,70,99464
216,103,119,51,2,70,99462
216,103,116,50,3,70,99465
219,101,118,49,4,70,99462
221,100,119,48,4,71,99460
221,100,117,50,4,71,99460
221,101,114,52,4,71,99460
226,102,113,53,4,71,99454
226,101,110,53,5,71,99457
226,103,109,53,5,72,99455
