neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58574,24814,16632
58625,24763,16630
58666,24721,16631
58695,24690,16633
58717,24668,16633
58752,24629,16637
58785,24596,16636
58812,24566,16639
58836,24544,16637
58867,24513,16637
58882,24499,16636
58893,24488,16635
58928,24454,16633
58957,24425,16633
58984,24395,16636
59013,24368,16634
59034,24348,16632
59057,24323,16634
59096,24287,16631
59123,24260,16631
59141,24240,16633
59170,24207,16637
59180,24197,16637
59222,24157,16635
59243,24132,16638
59283,24090,16639
59308,24066,16638
59336,24034,16640
59369,24001,16640
59377,23995,16637
59421,23948,16638
59435,23932,16638
59467,23897,16641
59489,23872,16644
59506,23854,16645
59535,23826,16644
59562,23798,16645
59586,23775,16644
59604,23754,16647
59617,23739,16648
59626,23729,16649
59654,23699,16651
59682,23667,16655
59707,23638,16659
59717,23626,16658
59737,23603,16660
59779,23558,16663
59784,23554,16661
59813,23521,16664
59827,23509,16662
59857,23478,16663
59871,23460,16667
59895,23433,16669
59908,23420,16669
59928,23398,16669
59953,23371,16670
59969,23352,16673
59993,23327,16674
60011,23314,16668
60030,23297,16666
60058,23270,16665
60075,23254,16664
60087,23242,16663
60111,23218,16663
60109,23218,16665
60120,23203,16668
60122,23199,16670
60137,23183,16671
60144,23169,16678
60175,23137,16679
60182,23130,16679
60188,23122,16679
60206,23104,16679
60212,23096,16681
60248,23060,16681
60255,23051,16681
60284,23017,16685
60304,22999,16683
60331,22966,16688
60327,22968,16690
60359,22936,16688
60357,22940,16686
60368,22928,16687
60370,22925,16688
60383,22913,16686
60381,22910,16690
60394,22899,16688
60407,22884,16690
60407,22877,16697
60411,22869,16700
60423,22854,16703
60411,22864,16705
60417,22855,16708
60423,22845,16711
60434,22827,16718
60433,22826,16720
60440,22813,16726
60441,22810,16726
60440,22807,16729
60431,22817,16728
60422,22823,16731
60435,22804,16737
60428,22809,16738
60449,22789,16736
60434,22802,16738
60446,22790,16737
60427,22801,16745
60435,22790,16748
60441,22782,16750
60441,22778,16754
60439,22778,16756
60448,22770,16755
60442,22771,16760
60452,22756,16765
60455,22752,16766
60457,22745,16771
60453,22742,16774
60458,22737,16774
60443,22750,16776
60438,22750,16781
60419,22772,16778
60425,22762,16782
60406,22778,16785
60411,22772,16786
60387,22793,16789
60407,22773,16789
60388,22789,16792
60368,22811,16790
60354,22823,16791
60343,22829,16796
60347,22824,16797
60325,22840,16803
60302,22858,16807
60283,22878,16805
60268,22889,16808
60256,22897,16812
60244,22912,16807
60212,22940,16811
60204,22943,16816
60175,22972,16815
60162,22982,16818
60146,22996,16820
60143,22995,16824
60139,22997,16824
60131,22997,16830
60100,23023,16835
60078,23043,16837
60065,23050,16843
60031,23083,16842
60015,23099,16842
59982,23126,16847
59960,23142,16853
59940,23159,16856
59918,23176,16861
59878,23215,16862
59863,23227,16865
59817,23271,16867
59805,23277,16872
59773,23304,16876
59734,23336,16881
59724,23345,16882
59680,23385,16884
59670,23389,16890
59641,23412,16896
59607,23440,16899
59572,23469,16905
59562,23477,16907
59539,23491,16916
59506,23519,16921
59471,23547,16927
59438,23573,16934
59399,23609,16935
59370,23635,16936
59325,23674,16942
59307,23688,16946
59268,23721,16952
59238,23744,16959
59212,23765,16964
59161,23812,16967
59125,23844,16971
59077,23884,16979
59052,23904,16984
58993,23954,16991
58978,23962,16997
58911,24025,17001
58874,24055,17007
58831,24095,17010
58810,24113,17013
58750,24172,17014
58700,24216,17019
58658,24250,17027
58615,24289,17031
58559,24343,17032
58520,24379,17035
58482,24417,17034
58427,24463,17043
58390,24502,17039
58332,24552,17047
58288,24590,17053
58220,24654,17057
58159,24707,17065
58108,24750,17073
58038,24816,17077
57998,24855,17078
57939,24912,17079
57868,24980,17082
57820,25017,17093
57733,25096,17101
57696,25127,17107
57621,25192,17117
57564,25239,17127
57532,25268,17130
57476,25317,17137
57410,25380,17139
57370,25414,17145
57300,25478,17149
57263,25510,17154
57208,25558,17161
57145,25610,17172
57072,25679,17176
57020,25717,17190
56963,25771,17193
56891,25835,17200
56809,25911,17206
56736,25977,17211
56661,26045,17218
56580,26118,17225
56504,26182,17236
56416,26258,17248
56336,26331,17255
56279,26382,17261
56204,26448,17270
56106,26540,17276
56047,26592,17281
55955,26681,17284
55902,26730,17287
55814,26806,17299
55729,26886,17304
55649,26955,17315
55600,26995,17323
55490,27103,17324
55423,27163,17331
55329,27253,17335
55235,27337,17345
55155,27410,17352
55083,27482,17352
54982,27577,17358
54904,27649,17364
54798,27751,17368
54712,27836,17368
54630,27908,17378
54559,27968,17387
54451,28064,17399
54391,28117,17406
54280,28225,17409
54198,28296,17420
54103,28383,17428
54035,28446,17433
53933,28539,17441
