POLYP,STAGE_1,STAGE_2,STAGE_3,STAGE_4,DIE,NO_CANCER
408,125,114,67,6,3,99300
404,126,113,68,4,5,99303
404,130,111,70,3,6,99299
395,136,112,70,3,6,99301
388,139,111,72,4,6,99303
387,139,113,71,4,6,99303
383,138,112,70,6,7,99307
374,144,113,68,5,9,99310
369,144,114,67,7,9,99313
364,146,114,68,7,9,99315
358,149,114,67,8,9,99318
356,150,114,67,8,9,99319
355,151,113,67,9,9,99319
349,153,111,70,6,12,99322
340,154,109,65,9,12,99334
336,154,109,66,7,14,99337
333,152,109,66,7,15,99341
324,155,108,64,10,15,99347
318,159,110,62,11,15,99348
315,162,110,61,12,15,99348
312,164,109,61,11,16,99350
307,165,111,60,12,16,99352
304,165,111,60,11,18,99354
295,170,109,61,8,21,99359
293,171,109,61,7,22,99360
289,171,110,61,7,22,99363
283,170,111,57,6,24,99372
280,169,111,57,6,24,99376
275,167,111,55,5,26,99384
270,167,111,57,5,26,99387
266,170,110,55,7,27,99388
266,174,109,55,7,27,99385
264,174,107,54,8,27,99389
267,173,106,53,7,28,99389
269,171,102,54,7,28,99392
266,167,102,53,6,29,99400
260,172,100,53,5,30,99403
258,173,99,52,5,31,99405
262,173,99,52,5,31,99401
255,173,99,54,4,32,99406
248,173,98,53,3,34,99414
242,175,98,52,4,34,99418
241,170,99,52,3,35,99423
239,173,99,52,2,35,99423
238,173,101,51,2,35,99423
234,175,101,51,2,35,99425
219,183,102,50,4,35,99430
220,183,101,50,4,36,99429
218,181,100,52,4,36,99432
215,179,100,53,4,36,99436
213,179,100,53,3,37,99438
210,175,97,54,5,37,99445
205,177,96,56,5,37,99447
205,176,97,55,5,37,99448
203,176,98,55,4,38,99449
200,170,98,55,4,39,99457
199,166,98,56,4,39,99461
198,167,97,56,4,39,99462
195,168,96,57,2,41,99464
195,163,97,58,2,41,99467
191,160,95,58,2,41,99476
190,154,94,58,5,41,99481
191,151,89,59,7,41,99485
188,151,86,59,7,42,99490
184,145,87,59,7,42,99499
180,142,89,58,7,42,99505
178,140,89,57,7,43,99509
179,134,91,56,7,43,99513
179,129,95,56,7,43,99514
178,122,96,55,6,44,99522
179,120,97,55,6,44,99522
180,116,96,53,4,47,99527
177,111,95,54,4,47,99535
180,108,95,53,4,47,99536
172,109,95,53,4,47,99543
166,111,91,54,4,48,99549
165,111,91,54,4,48,99550
168,105,91,53,5,48,99553
167,104,91,52,5,48,99556
168,102,90,53,3,50,99557
167,96,91,54,3,50,99562
167,93,93,54,3,50,99563
166,92,92,54,4,50,99565
169,95,88,55,4,50,99562
171,97,86,57,1,53,99558
171,94,88,57,1,53,99559
173,93,88,56,1,54,99558
173,91,87,56,1,54,99561
169,91,88,56,1,54,99564
169,89,87,57,2,54,99565
165,87,87,56,2,54,99572
166,84,85,56,1,55,99576
162,84,84,55,2,55,99581
164,83,82,55,2,55,99582
162,83,82,55,2,55,99584
162,82,83,54,2,56,99584
161,75,86,53,3,56,99589
161,75,85,52,4,56,99590
160,75,85,53,2,58,99590
159,73,84,53,2,59,99593
161,72,82,54,2,59,99593
162,70,81,54,2,59,99595
157,69,82,53,3,59,99600
154,68,82,53,3,59,99604
157,66,83,53,3,59,99602
162,64,83,52,1,61,99600
160,65,81,52,1,61,99603
158,66,81,51,2,61,99604
153,65,83,51,2,61,99608
154,62,82,52,1,62,99610
156,62,82,52,1,62,99608
157,60,82,52,1,62,99609
161,60,81,51,2,62,99606
167,59,79,51,2,63,99602
168,58,79,51,2,63,99602
170,59,77,51,2,63,99601
169,59,77,51,2,63,99602
165,61,74,51,3,63,99606
166,58,77,51,1,65,99605
163,57,76,51,1,65,99610
164,57,76,51,1,65,99609
168,58,74,51,2,65,99605
168,55,75,50,3,65,99607
171,55,75,49,4,65,99604
173,55,75,48,4,65,99603
175,54,75,49,4,65,99601
174,53,76,47,3,66,99604
177,53,75,47,3,66,99602
178,53,75,47,3,66,99601
177,52,74,46,4,67,99603
