neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58575,24814,16632
58625,24763,16630
58666,24721,16631
58695,24690,16633
58717,24668,16633
58752,24629,16637
58785,24596,16636
58812,24566,16639
58836,24544,16637
58867,24513,16637
58882,24499,16636
58892,24488,16635
58928,24454,16633
58957,24425,16633
58984,24395,16636
59013,24368,16634
59034,24348,16632
59057,24323,16634
59096,24287,16631
59123,24260,16631
59140,24240,16633
59168,24206,16637
59178,24196,16637
59220,24156,16635
59242,24131,16638
59281,24090,16639
59306,24066,16638
59334,24034,16640
59367,24001,16640
59376,23995,16637
59421,23948,16639
59433,23933,16639
59465,23898,16642
59487,23873,16645
59504,23854,16646
59533,23826,16645
59560,23798,16646
59584,23775,16644
59602,23754,16647
59615,23740,16648
59624,23729,16649
59652,23699,16651
59680,23667,16655
59705,23638,16659
59718,23626,16658
59736,23603,16660
59778,23558,16663
59783,23555,16661
59812,23521,16664
59826,23509,16662
59856,23478,16663
59870,23460,16667
59895,23432,16669
59908,23419,16669
59928,23399,16669
59954,23372,16670
59970,23352,16673
59993,23328,16674
60009,23315,16668
60028,23298,16666
60056,23271,16664
60072,23256,16663
60085,23243,16663
60109,23219,16663
60106,23219,16665
60118,23204,16668
60120,23200,16670
60135,23184,16671
60142,23170,16678
60173,23138,16679
60180,23131,16679
60187,23124,16679
60204,23105,16679
60210,23096,16680
60246,23059,16680
60254,23051,16680
60283,23018,16684
60303,23000,16682
60331,22967,16687
60326,22968,16689
60359,22937,16687
60356,22941,16685
60366,22929,16686
60368,22926,16687
60382,22914,16685
60379,22911,16689
60391,22900,16687
60404,22885,16689
60403,22878,16696
60407,22870,16700
60420,22854,16702
60407,22865,16704
60413,22856,16706
60419,22845,16709
60430,22827,16716
60429,22826,16718
60436,22813,16724
60437,22811,16725
60436,22807,16727
60427,22817,16726
60418,22823,16729
60431,22804,16735
60424,22809,16737
60446,22789,16735
60431,22802,16737
60443,22790,16737
60424,22801,16745
60432,22790,16747
60439,22781,16749
60438,22778,16753
60438,22776,16755
60445,22770,16754
60440,22770,16759
60451,22754,16764
60453,22751,16765
60454,22745,16769
60450,22742,16773
60455,22737,16773
60440,22750,16775
60435,22750,16780
60416,22772,16777
60422,22762,16781
60404,22776,16784
60408,22771,16785
60384,22792,16788
60404,22771,16788
60385,22787,16791
60366,22808,16789
60351,22821,16790
60340,22827,16795
60342,22824,16796
60322,22838,16802
60299,22856,16806
60279,22877,16804
60266,22887,16807
60253,22896,16810
60242,22910,16807
60209,22939,16811
60203,22940,16816
60175,22969,16815
60163,22977,16818
60146,22992,16820
60144,22990,16824
60140,22992,16824
60132,22993,16831
60102,23018,16835
60076,23042,16837
60065,23047,16843
60030,23082,16842
60014,23098,16842
59982,23125,16847
59960,23141,16853
59940,23158,16856
59917,23176,16861
59878,23214,16862
59862,23227,16865
59816,23271,16867
59805,23277,16872
59774,23303,16876
59734,23337,16881
59726,23344,16882
59683,23384,16885
59673,23388,16891
59645,23410,16896
59615,23434,16899
59576,23466,16905
59569,23471,16907
59543,23488,16916
59513,23513,16921
59480,23538,16928
59443,23568,16934
59407,23602,16936
59378,23628,16937
59333,23666,16943
59315,23680,16947
59276,23713,16953
59245,23737,16960
59219,23758,16965
59169,23804,16969
59133,23836,16973
59085,23876,16981
59061,23895,16986
59003,23944,16994
58988,23953,17000
58920,24016,17004
58885,24045,17010
58841,24086,17013
58819,24105,17016
58757,24167,17016
58708,24211,17021
58668,24243,17029
58625,24282,17033
58568,24337,17034
58529,24372,17037
58489,24412,17037
58432,24458,17046
58398,24495,17043
58340,24544,17052
58295,24583,17058
58229,24645,17062
58164,24702,17070
58113,24745,17078
58043,24811,17082
58004,24849,17082
57945,24907,17083
57873,24976,17086
57829,25008,17097
57741,25089,17104
57704,25120,17110
57629,25184,17121
57572,25231,17131
57539,25261,17134
57484,25307,17141
57419,25370,17143
57378,25405,17149
57307,25472,17152
57269,25505,17157
57216,25551,17164
57151,25604,17175
57079,25672,17179
57026,25711,17193
56969,25765,17196
56896,25831,17203
56817,25904,17209
56745,25971,17214
56671,26038,17221
56592,26110,17228
56515,26176,17239
56427,26252,17251
56349,26322,17258
56288,26377,17264
56218,26438,17273
56117,26533,17279
56056,26588,17285
55967,26674,17287
55915,26722,17290
55825,26800,17302
55741,26879,17307
55661,26948,17318
55612,26987,17327
55501,27097,17328
55437,27154,17335
55340,27247,17339
55247,27331,17348
55169,27402,17355
55092,27479,17355
54993,27572,17361
54916,27642,17367
54809,27745,17371
54719,27835,17371
54638,27905,17381
54570,27964,17390
54459,28063,17402
54403,28112,17409
54290,28222,17412
54209,28290,17423
54110,28381,17430
54043,28443,17435
53944,28533,17444
