neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58575,24814,16632
58625,24763,16630
58666,24721,16631
58695,24690,16633
58717,24668,16633
58752,24629,16637
58785,24596,16636
58812,24566,16639
58836,24544,16637
58867,24513,16637
58882,24499,16636
58892,24488,16635
58928,24454,16633
58957,24425,16633
58984,24395,16636
59013,24368,16634
59034,24348,16632
59057,24323,16634
59096,24287,16631
59123,24260,16631
59141,24240,16633
59170,24207,16637
59180,24197,16637
59222,24157,16635
59244,24132,16638
59283,24091,16639
59308,24067,16638
59336,24035,16640
59369,24002,16640
59378,23996,16637
59423,23949,16639
59435,23934,16639
59467,23899,16642
59489,23874,16645
59506,23856,16646
59535,23828,16645
59562,23800,16646
59586,23777,16645
59604,23756,16648
59617,23742,16649
59626,23732,16650
59654,23702,16652
59681,23670,16656
59706,23641,16660
59719,23629,16659
59737,23606,16661
59779,23561,16664
59782,23558,16662
59811,23524,16665
59825,23512,16663
59855,23481,16663
59869,23463,16667
59894,23435,16669
59907,23422,16669
59927,23402,16669
59953,23375,16669
59968,23356,16672
59992,23331,16673
60009,23318,16667
60028,23301,16665
60056,23274,16664
60072,23259,16663
60085,23246,16663
60110,23221,16663
60107,23221,16665
60119,23206,16668
60121,23202,16670
60136,23186,16671
60143,23172,16678
60174,23139,16679
60181,23132,16679
60188,23125,16679
60205,23106,16679
60211,23097,16680
60247,23060,16680
60254,23052,16680
60283,23019,16684
60303,23001,16682
60331,22968,16687
60326,22969,16689
60360,22937,16687
60357,22942,16685
60369,22929,16686
60370,22927,16686
60385,22914,16684
60382,22912,16688
60394,22901,16686
60407,22886,16688
60407,22879,16695
60411,22871,16699
60423,22856,16701
60411,22865,16703
60417,22856,16706
60423,22846,16709
60434,22828,16716
60434,22826,16718
60440,22813,16724
60441,22811,16725
60440,22807,16728
60431,22817,16727
60423,22822,16730
60435,22804,16736
60429,22808,16738
60450,22789,16736
60436,22801,16738
60447,22790,16738
60429,22800,16746
60436,22790,16748
60443,22781,16750
60441,22778,16754
60441,22776,16756
60449,22769,16755
60443,22769,16760
60454,22752,16765
60455,22750,16766
60457,22743,16770
60454,22741,16774
60460,22735,16774
60444,22749,16776
60440,22748,16781
60421,22770,16778
60426,22761,16782
60409,22774,16785
60413,22769,16786
60389,22790,16789
60409,22770,16789
60390,22786,16792
60372,22806,16790
60356,22820,16791
60346,22825,16796
60350,22820,16797
60327,22837,16803
60306,22854,16807
60285,22877,16805
60272,22887,16808
60259,22896,16811
60249,22909,16808
60216,22938,16812
60209,22940,16817
60180,22969,16816
60165,22979,16819
60149,22992,16821
60146,22991,16825
60142,22994,16824
60135,22994,16831
60103,23021,16835
60082,23040,16837
60069,23047,16842
60035,23081,16840
60019,23097,16840
59986,23125,16845
59964,23141,16851
59944,23158,16854
59922,23175,16859
59883,23213,16860
59868,23225,16863
59821,23270,16865
59811,23275,16870
59779,23302,16874
59740,23335,16878
59731,23343,16879
59688,23383,16882
59677,23388,16888
59649,23410,16894
59613,23439,16897
59577,23468,16903
59568,23475,16905
59545,23489,16914
59511,23518,16918
59481,23541,16925
59444,23571,16931
59405,23608,16933
59377,23633,16934
59332,23672,16940
59313,23687,16944
59273,23720,16950
59244,23742,16957
59219,23761,16962
59169,23807,16966
59133,23840,16969
59085,23878,16978
59061,23897,16983
59001,23949,16991
58987,23957,16997
58919,24020,17001
58884,24048,17007
58841,24088,17010
58819,24107,17013
58759,24166,17014
58713,24207,17019
58669,24243,17027
58629,24279,17031
58572,24334,17033
58531,24372,17036
58495,24408,17036
58435,24458,17045
58403,24493,17042
58341,24546,17051
58296,24585,17057
58232,24645,17061
58167,24702,17069
58116,24745,17077
58048,24809,17081
58008,24848,17082
57949,24906,17083
57879,24973,17086
57833,25007,17097
57746,25086,17105
57709,25117,17111
57633,25182,17121
57575,25229,17131
57542,25259,17134
57487,25306,17141
57422,25369,17143
57379,25406,17149
57312,25468,17153
57274,25501,17158
57219,25549,17165
57154,25603,17176
57081,25672,17180
57028,25711,17192
56972,25764,17195
56900,25829,17202
56819,25904,17208
56748,25970,17213
56668,26043,17220
56592,26111,17227
56517,26175,17237
56425,26255,17249
56352,26320,17256
56289,26377,17262
56217,26440,17271
56118,26532,17277
56056,26588,17283
55967,26674,17285
55911,26726,17288
55823,26802,17300
55744,26875,17306
55661,26947,17317
55610,26989,17325
55504,27094,17326
55438,27153,17332
55340,27247,17336
55247,27331,17345
55169,27401,17352
55092,27478,17352
54996,27568,17358
54915,27643,17364
54812,27741,17368
54722,27831,17368
54642,27901,17378
54572,27962,17387
54462,28060,17399
54404,28111,17405
54292,28220,17408
54208,28292,17419
54112,28380,17426
54045,28442,17431
53942,28536,17440
