neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58575,24814,16632
58625,24763,16632
58666,24721,16631
58695,24690,16633
58717,24668,16632
58752,24629,16636
58785,24596,16636
58812,24566,16639
58834,24544,16637
58865,24513,16637
58880,24499,16636
58891,24488,16635
58927,24454,16633
58955,24425,16633
58982,24395,16636
59011,24368,16634
59032,24348,16631
59055,24323,16633
59094,24287,16630
59121,24260,16629
59139,24240,16631
59168,24207,16635
59178,24197,16635
59220,24157,16633
59241,24132,16636
59281,24091,16637
59306,24065,16636
59334,24035,16638
59366,24002,16638
59375,23996,16635
59420,23949,16637
59433,23934,16637
59465,23899,16640
59487,23874,16643
59504,23856,16644
59533,23828,16643
59560,23800,16644
59584,23777,16643
59602,23756,16646
59614,23741,16647
59623,23731,16648
59651,23701,16650
59679,23669,16654
59704,23640,16658
59715,23628,16657
59734,23606,16659
59777,23560,16662
59782,23556,16660
59811,23523,16663
59825,23511,16661
59855,23480,16662
59869,23462,16666
59893,23435,16668
59906,23422,16668
59926,23399,16667
59949,23371,16668
59965,23352,16671
59989,23327,16672
60007,23314,16667
60026,23297,16664
60054,23270,16663
60071,23254,16662
60083,23242,16662
60107,23218,16662
60105,23218,16664
60116,23203,16667
60118,23199,16669
60133,23183,16670
60140,23169,16677
60171,23137,16678
60178,23129,16678
60185,23122,16678
60201,23104,16677
60207,23096,16679
60243,23060,16679
60251,23052,16679
60280,23018,16683
60300,23000,16681
60328,22967,16686
60324,22968,16688
60356,22937,16686
60354,22941,16684
60365,22928,16684
60367,22925,16684
60381,22913,16682
60378,22910,16686
60391,22899,16684
60404,22884,16686
60404,22877,16693
60408,22869,16697
60420,22854,16700
60408,22864,16701
60414,22855,16704
60420,22845,16707
60430,22828,16714
60429,22827,16715
60436,22814,16721
60437,22812,16722
60436,22808,16725
60427,22818,16724
60415,22825,16727
60428,22805,16732
60421,22810,16734
60443,22790,16731
60428,22802,16733
60440,22790,16733
60421,22801,16741
60428,22791,16744
60435,22782,16746
60434,22778,16750
60430,22778,16752
60440,22769,16751
60433,22771,16756
60445,22754,16761
60446,22751,16762
60446,22745,16767
60445,22742,16771
60450,22737,16770
60434,22751,16772
60430,22750,16777
60411,22772,16774
60416,22763,16778
60399,22777,16781
60403,22771,16782
60379,22792,16785
60400,22771,16785
60380,22788,16787
60362,22808,16785
60348,22820,16787
60335,22828,16792
60342,22820,16793
60319,22837,16799
60295,22857,16803
60276,22876,16801
60261,22888,16804
60249,22895,16808
60236,22911,16805
60204,22939,16809
60196,22942,16814
60168,22971,16813
60153,22981,16815
60137,22995,16817
60135,22992,16821
60130,22995,16821
60124,22994,16828
60092,23021,16833
60070,23041,16835
60057,23048,16841
60022,23082,16841
60007,23097,16841
59975,23124,16845
59953,23140,16851
59933,23157,16854
59910,23175,16859
59868,23215,16860
59855,23225,16863
59807,23270,16865
59797,23275,16869
59765,23302,16874
59730,23332,16879
59717,23344,16880
59678,23380,16883
59668,23384,16889
59637,23409,16895
59607,23435,16899
59570,23466,16905
59560,23474,16907
59537,23487,16916
59503,23515,16920
59470,23542,16925
59434,23571,16932
59397,23606,16934
59369,23631,16936
59326,23668,16942
59307,23683,16946
59265,23718,16952
59237,23739,16959
59211,23760,16964
59156,23810,16968
59123,23839,16972
59075,23879,16980
59049,23899,16985
58993,23947,16993
58976,23958,16999
58915,24015,17003
58873,24051,17009
58834,24087,17012
58816,24102,17015
58750,24167,17015
58705,24207,17020
58660,24244,17028
58620,24280,17032
58563,24335,17034
58523,24372,17037
58487,24408,17036
58423,24462,17045
58394,24494,17042
58332,24547,17051
58286,24587,17057
58222,24647,17061
58158,24703,17069
58108,24745,17077
58034,24815,17081
57998,24850,17082
57940,24907,17083
57865,24979,17086
57823,25010,17097
57734,25090,17105
57698,25120,17111
57623,25185,17121
57566,25232,17131
57534,25261,17134
57480,25308,17140
57411,25373,17142
57371,25407,17148
57301,25473,17152
57262,25507,17156
57209,25553,17163
57147,25604,17174
57072,25675,17178
57020,25713,17192
56962,25768,17195
56890,25833,17201
56808,25909,17207
56735,25976,17212
56663,26041,17219
56581,26116,17225
56508,26178,17235
56415,26258,17248
56345,26320,17255
56280,26379,17261
56208,26442,17270
56112,26532,17276
56050,26587,17282
55961,26673,17284
55908,26720,17289
55819,26797,17301
55733,26878,17306
55655,26945,17317
55609,26983,17325
55497,27093,17325
55435,27148,17332
55337,27242,17336
55246,27323,17346
55166,27396,17353
55092,27470,17353
54988,27567,17360
54912,27637,17366
54806,27739,17370
54717,27828,17370
54637,27899,17379
54567,27959,17387
54457,28057,17399
54398,28109,17406
54288,28216,17409
54204,28288,17421
54109,28375,17429
54042,28437,17434
53937,28533,17443
