neitherOverWaightNorObese,overweight,obese
58532,24863,16628
58574,24814,16632
58625,24763,16630
58666,24721,16631
58694,24690,16633
58716,24668,16633
58751,24629,16637
58784,24596,16636
58811,24566,16639
58835,24544,16637
58866,24513,16637
58881,24499,16636
58892,24488,16635
58928,24454,16633
58956,24425,16633
58983,24394,16636
59012,24367,16634
59033,24348,16632
59056,24323,16634
59095,24287,16631
59122,24260,16631
59139,24240,16632
59168,24207,16636
59178,24197,16636
59220,24157,16634
59242,24132,16637
59281,24090,16638
59306,24064,16637
59333,24034,16639
59366,24001,16639
59375,23995,16635
59420,23948,16637
59433,23933,16638
59465,23898,16641
59487,23873,16644
59504,23855,16645
59533,23827,16644
59560,23799,16645
59584,23776,16644
59602,23755,16647
59615,23741,16648
59624,23731,16649
59652,23701,16651
59680,23669,16655
59705,23640,16659
59716,23628,16657
59736,23604,16659
59778,23559,16662
59783,23555,16660
59812,23523,16663
59826,23511,16661
59856,23480,16662
59870,23462,16666
59894,23435,16668
59907,23422,16668
59927,23401,16668
59952,23373,16668
59968,23354,16671
59992,23329,16671
60011,23315,16666
60029,23299,16664
60056,23272,16663
60073,23256,16662
60085,23244,16662
60110,23219,16662
60108,23219,16664
60119,23204,16667
60121,23200,16669
60136,23184,16670
60143,23170,16677
60174,23138,16678
60181,23131,16678
60188,23123,16678
60206,23105,16678
60211,23097,16679
60247,23061,16679
60255,23053,16679
60284,23020,16683
60304,23002,16681
60332,22968,16686
60328,22970,16688
60361,22939,16686
60359,22942,16684
60369,22930,16685
60371,22927,16685
60385,22915,16683
60383,22912,16688
60396,22901,16686
60409,22886,16688
60408,22879,16695
60412,22871,16699
60424,22856,16702
60411,22866,16703
60417,22857,16706
60424,22847,16709
60435,22829,16716
60434,22828,16718
60441,22815,16724
60442,22811,16725
60442,22808,16728
60432,22819,16727
60423,22824,16730
60436,22805,16736
60429,22810,16738
60451,22790,16735
60435,22804,16737
60448,22791,16737
60429,22802,16745
60436,22791,16748
60442,22783,16750
60442,22779,16754
60440,22779,16756
60449,22771,16755
60443,22771,16760
60453,22756,16765
60456,22752,16766
60456,22746,16771
60455,22742,16774
60459,22738,16774
60444,22751,16776
60441,22749,16781
60421,22771,16778
60427,22761,16782
60408,22776,16785
60412,22771,16786
60388,22792,16789
60408,22772,16789
60389,22788,16792
60370,22809,16789
60357,22820,16791
60344,22828,16796
60350,22821,16797
60328,22838,16802
60305,22857,16806
60284,22877,16805
60269,22889,16808
60258,22896,16812
60246,22910,16809
60215,22937,16812
60205,22942,16817
60177,22970,16816
60163,22981,16818
60147,22995,16820
60145,22993,16823
60139,22998,16824
60135,22995,16831
60101,23024,16836
60081,23042,16838
60067,23050,16843
60034,23083,16842
60017,23100,16842
59985,23127,16847
59964,23142,16853
59943,23160,16856
59922,23177,16860
59882,23215,16862
59866,23227,16866
59820,23271,16867
59808,23276,16872
59776,23302,16876
59739,23334,16881
59728,23344,16882
59686,23383,16885
59676,23387,16891
59647,23410,16897
59612,23438,16901
59576,23468,16907
59566,23474,16908
59542,23489,16917
59508,23518,16922
59474,23543,16929
59439,23572,16935
59402,23606,16937
59373,23633,16939
59328,23672,16945
59311,23685,16949
59271,23719,16955
59240,23743,16962
59214,23763,16967
59161,23812,16971
59127,23841,16975
59079,23881,16983
59054,23900,16988
58995,23951,16996
58983,23957,17002
58914,24022,17006
58878,24052,17012
58835,24092,17014
58815,24109,17017
58754,24169,17017
58706,24212,17022
58664,24246,17030
58621,24285,17033
58566,24338,17035
58523,24378,17038
58489,24412,17038
58429,24462,17046
58397,24497,17043
58339,24546,17052
58293,24586,17058
58227,24647,17062
58166,24701,17069
58113,24746,17076
58044,24810,17081
58005,24848,17082
57947,24905,17083
57876,24973,17086
57830,25008,17097
57744,25085,17105
57707,25116,17111
57629,25184,17121
57574,25229,17131
57541,25259,17134
57488,25305,17141
57419,25371,17143
57378,25405,17149
57305,25474,17153
57268,25506,17158
57214,25553,17165
57150,25606,17176
57077,25675,17180
57025,25713,17194
56967,25768,17197
56893,25835,17204
56816,25906,17210
56739,25978,17215
56664,26045,17222
56584,26118,17229
56509,26182,17240
56417,26261,17252
56344,26327,17259
56280,26385,17265
56209,26447,17274
56111,26539,17280
56050,26594,17286
55961,26680,17289
55905,26731,17292
55816,26808,17304
55733,26886,17309
55654,26954,17320
55604,26995,17329
55491,27107,17330
55430,27161,17337
55332,27254,17341
55239,27338,17350
55158,27412,17357
55083,27486,17357
54986,27577,17363
54907,27650,17369
54802,27750,17373
54711,27841,17373
54633,27909,17383
54563,27969,17392
54455,28065,17404
54393,28120,17411
54284,28225,17414
54202,28296,17425
54105,28385,17433
54038,28447,17438
53936,28540,17447
