neitherOverWaightNorObese,overweight,obese
58531,24863,16627
58574,24814,16631
58625,24763,16631
58666,24720,16630
58695,24689,16632
58716,24667,16631
58751,24628,16635
58784,24595,16635
58811,24565,16638
58835,24543,16636
58865,24512,16636
58880,24498,16635
58891,24487,16635
58927,24453,16632
58955,24424,16632
58982,24393,16635
59011,24366,16633
59032,24347,16631
59055,24322,16633
59094,24286,16630
59121,24259,16630
59139,24239,16632
59168,24206,16636
59178,24196,16636
59220,24156,16634
59241,24131,16637
59281,24089,16638
59306,24065,16637
59334,24034,16639
59367,24001,16639
59376,23995,16636
59420,23948,16638
59433,23933,16638
59465,23898,16641
59487,23873,16643
59504,23855,16644
59533,23827,16643
59560,23799,16644
59584,23776,16643
59602,23755,16646
59615,23740,16647
59624,23730,16648
59652,23700,16650
59680,23668,16654
59703,23639,16658
59716,23627,16657
59736,23603,16659
59778,23558,16662
59783,23554,16660
59812,23521,16663
59826,23509,16661
59856,23478,16662
59870,23460,16666
59893,23432,16668
59904,23418,16668
59924,23398,16668
59950,23371,16669
59965,23352,16672
59988,23326,16673
60006,23313,16668
60024,23296,16666
60051,23269,16665
60067,23254,16664
60080,23241,16664
60104,23217,16664
60102,23217,16666
60113,23202,16668
60115,23198,16670
60131,23181,16671
60138,23167,16678
60169,23135,16679
60176,23128,16679
60183,23120,16679
60201,23102,16679
60206,23094,16681
60241,23057,16681
60249,23049,16681
60278,23016,16685
60298,22998,16683
60326,22965,16688
60321,22966,16690
60355,22934,16688
60352,22939,16686
60363,22927,16687
60364,22925,16688
60379,22912,16686
60376,22910,16690
60387,22899,16687
60400,22884,16689
60399,22877,16696
60403,22869,16700
60415,22854,16703
60403,22864,16704
60410,22854,16707
60416,22845,16710
60426,22826,16717
60426,22824,16719
60433,22811,16725
60434,22808,16726
60433,22804,16729
60424,22813,16728
60414,22818,16731
60426,22800,16737
60420,22803,16739
60440,22785,16737
60427,22796,16739
60437,22786,16739
60419,22796,16747
60427,22785,16749
60433,22777,16751
60433,22773,16755
60432,22772,16757
60440,22765,16756
60436,22764,16761
60444,22751,16766
60446,22748,16766
60450,22739,16771
60446,22739,16775
60453,22732,16775
60436,22747,16777
60432,22746,16782
60413,22767,16779
60419,22757,16783
60401,22772,16786
60405,22767,16787
60382,22787,16790
60401,22767,16789
60383,22782,16792
60361,22806,16789
60354,22811,16791
60336,22823,16796
60341,22817,16797
60321,22831,16803
60296,22850,16807
60275,22872,16805
60260,22884,16808
60252,22888,16812
60236,22906,16809
60209,22929,16813
60198,22936,16816
60172,22963,16815
60157,22975,16818
60144,22984,16819
60138,22986,16823
60136,22987,16822
60126,22990,16829
60094,23017,16834
60073,23036,16836
60059,23044,16842
60028,23075,16842
60011,23092,16842
59979,23119,16845
59957,23135,16851
59937,23152,16854
59912,23171,16859
59875,23207,16860
59859,23220,16863
59812,23264,16865
59800,23270,16870
59770,23295,16875
59731,23329,16880
59724,23334,16880
59679,23376,16883
59670,23379,16889
59643,23400,16895
59606,23432,16898
59572,23460,16904
59563,23467,16905
59539,23479,16913
59502,23510,16917
59474,23532,16923
59438,23561,16930
59398,23599,16932
59371,23624,16934
59324,23665,16940
59305,23679,16944
59267,23711,16950
59239,23732,16957
59212,23753,16962
59162,23799,16966
59128,23829,16970
59077,23872,16978
59056,23887,16983
58994,23941,16991
58980,23949,16997
58914,24011,17001
58875,24043,17007
58836,24079,17010
58812,24100,17013
58750,24161,17014
58705,24201,17019
58662,24236,17027
58620,24274,17031
58564,24328,17033
58521,24368,17036
58487,24401,17036
58428,24451,17045
58394,24488,17042
58339,24533,17051
58290,24575,17057
58224,24637,17061
58162,24692,17068
58113,24733,17076
58042,24800,17079
58006,24835,17080
57944,24895,17082
57875,24961,17085
57830,24995,17096
57744,25073,17103
57704,25107,17109
57628,25173,17119
57575,25216,17129
57540,25248,17132
57485,25295,17139
57419,25359,17141
57378,25394,17147
57309,25459,17151
57269,25494,17156
57215,25541,17163
57150,25595,17173
57077,25664,17177
57024,25703,17191
56968,25756,17194
56896,25819,17201
56815,25894,17207
56740,25963,17213
56672,26024,17220
56584,26106,17226
56516,26164,17236
56423,26245,17248
56346,26315,17254
56288,26367,17260
56215,26430,17270
56115,26524,17275
56052,26581,17281
55966,26664,17284
55911,26716,17287
55820,26795,17299
55742,26868,17304
55655,26943,17315
55606,26983,17324
55495,27093,17325
55429,27152,17332
55333,27245,17335
55241,27327,17345
55158,27402,17352
55085,27475,17352
54986,27568,17358
54909,27639,17364
54805,27739,17368
54714,27829,17368
54634,27899,17378
54565,27959,17387
54457,28055,17399
54393,28112,17406
54283,28219,17409
54206,28285,17420
54104,28379,17428
54041,28437,17433
53941,28528,17442
